|Run	|Condition	|Block	$RunName	#DA	#ACh	#VSPatch	#LHbDip	#DipSum	#GiveUp	#LHbBurst	#PVpos	#PVneg	#SC	#C0_CS_DA	#C0_CS_VSPatch	#C0_US_DA	#C0_US_VSPatch	#C1_CS_DA	#C1_CS_VSPatch	#C1_US_DA	#C1_US_VSPatch
0	0	47	Base	0.2077	0.3297	0.1574	0.05502	0.05682	0.07652	0.1242	0.1242	0	0.304	0.9028	0	0.03965	0.927	1.23	0	-0.2401	0.7303
0	0	48	Base	0.207	0.3372	0.1585	0.04037	0.04964	0.1001	0.1242	0.1242	0	0.304	1.205	0	-0.1035	1.026	0.9345	0	-0.183	0.6756
0	0	49	Base	0.2096	0.3266	0.1578	0.05302	0.05772	0.08009	0.1241	0.1241	0	0.304	1.226	0	-0.2675	1.108	1.257	0	-0.2117	0.7018
0	0	50	Base	0.234	0.3266	0.1372	0.0317	0.04404	0.07339	0.1241	0.1241	0	0.304	1.205	0	0.06709	0.9038	1.259	0	-0.1233	0.6135
0	1	0	Base	0.06677	0.2086	0.1758	0.1816	0.1834	0.2	0	0	0	0.3142	1.193	0	-0.5116	0.8134	0.9495	0	-0.465	0.4681
0	1	1	Base	0.1452	0.6097	0.09272	0.09784	0.1068	0.1664	0	0	0	0.304	0.9237	0	-0.6383	0.6588	0.9688	0	0.2832	0.05849
0	1	2	Base	0.2238	0.92	0.1047	0.1064	0.1066	0.1779	0	0	0	0.3142	1.061	0.1024	0.3611	0.4448	0.5563	0.01997	-0.2664	0.3001
0	1	3	Base	0.2122	0.9815	0.1109	0.1127	0.1132	0.1891	0	0	0	0.3786	0.3402	0.5096	0.7887	0.1325	0.5247	0.09867	0.1636	0.1868
0	1	4	Base	0.07408	0.9932	0.1271	0.1291	0.1293	0.2	0	0	0	0.424	0.314	0.1108	-0.3728	0.7016	0.2667	0.2618	0.8502	0.121
0	1	5	Base	-0.02127	0.997	0.1657	0.1676	0.1671	0.2	0	0	0	0.3692	0.2042	0.1167	-0.5101	0.8382	0.2503	0.07629	-0.5174	0.5524
0	1	6	Base	-0.1094	0.9984	0.1587	0.1606	0.1607	0.2	0	0	0	0.3205	0.1909	0.008271	-0.8384	0.8698	0.09667	0.1188	-0.0005448	0.3362
0	1	7	Base	-0.1051	0.9991	0.1281	0.1301	0.1301	0.2	0	0	0	0.304	0.05445	0	-0.8112	0.8459	0.07221	0	-0.2168	0.2488
0	1	8	Base	-0.08994	0.9995	0.1125	0.114	0.1142	0.1556	0	0	0	0.2704	0.05073	0	-0.6104	0.642	0.01942	0	-0.1225	0.1689
0	1	9	Base	-0.01927	0.9997	0.03814	0.03946	0.04317	0.1335	0	0	0	0.2704	0.0451	0	-0.2263	0.2611	0.02254	0	0.0008234	0.0283
0	1	10	Base	-0.001163	0.9998	0.02115	0.02173	0.02237	0.05881	0	0	0	0.2004	0.03802	0	-0.07727	0.112	0.02697	0	0.01743	0.01498
0	1	11	Base	-0.02193	0.9998	0.04193	0.04309	0.04269	0.1176	0	0	0	0.1404	0.04278	0	-0.279	0.3106	0.02039	0	0.01214	0.0199
0	1	12	Base	0.002856	0.9999	0.01846	0.01904	0.01886	0.05881	0	0	0	0.2004	0.04735	0	-0.1396	0.1776	0.02309	0	0.003984	0.02809
0	1	13	Base	-0.003159	0.9999	0.02117	0.02117	0.02117	0	0	0	0	0	0.02614	0	-0.05367	0.08868	0.02065	0	0.01713	0.01515
0	1	14	Base	0.01663	0.9999	0.001923	0.001923	0.001923	0	0	0	0	0	0.02803	0	0.03334	0.007788	0.02344	0	0.02644	0
0	1	15	Base	-0.01883	1	0.0346	0.03576	0.03557	0.1176	0	0	0	0.1404	0.02022	0	-0.1764	0.2109	0.02267	0	0.02831	0.0008211
0	1	16	Base	0.000968	1	0.01645	0.01755	0.02686	0.1109	0	0	0	0.239	0.0288	0	-0.04593	0.08399	0.01753	0	0.02319	0.008999
0	1	17	Base	0.001706	1	0.01393	0.01393	0.01393	0	0	0	0	0	0.02294	0	-0.02766	0.06245	0.02463	0	0.03219	0
0	1	18	Base	0.0146	1	0.001032	0.001032	0.001032	0	0	0	0	0	0.02341	0	0.008323	0.02328	0.01811	0	0.03196	0
0	1	19	Base	0.01367	1	0.003095	0.003095	0.003095	0	0	0	0	0	0.0231	0	0.02175	0.01318	0.02052	0	0.02943	0
0	1	20	Base	0.01617	1	0.002127	0.002127	0.002127	0	0	0	0	0	0.02285	0	0.02696	0.01095	0.02428	0	0.02027	0.01176
0	1	21	Base	0.01144	1	0.006371	0.006371	0.006371	0	0	0	0	0	0.0262	0	-0.007975	0.04282	0.01544	0	0.03007	0.001963
0	1	22	Base	0.0166	1	0.0005593	0.0005593	0.0005593	0	0	0	0	0	0.0258	0	0.02738	0.007502	0.01554	0	0.009819	0.01928
0	1	23	Base	0.01119	1	0.006378	0.006445	0.006716	0.006696	0	0	0	0.00475	0.02653	0	-0.01879	0.0502	0.01772	0	-0.01764	0.04963
0	1	24	Base	0.01242	1	0.004783	0.004783	0.004783	0	0	0	0	0.1033	0.02584	0	0.008946	0.02266	0.01548	0	0.0192	0.01283
0	1	25	Base	0.006986	1	0.01081	0.01081	0.01081	0	0	0	0	0	0.02331	0	-0.03275	0.06466	0.0207	0	0.03239	0
0	1	26	Base	0.01099	1	0.007217	0.007217	0.007217	0	0	0	0	0	0.02285	0	-0.002412	0.037	0.01829	0	0.03207	0
0	1	27	Base	0.01528	1	0	0	0	0	0	0	0	0	0.02005	0	0.03145	0	0.01265	0	0.02619	0
