|Run	|Condition	$RunName	#DA	#ACh	#VSPatch	#LHbDip	#DipSum	#GiveUp	#LHbBurst	#PVpos	#PVneg	#SC	#C0_CS_DA	#C0_CS_VSPatch	#C0_US_DA	#C0_US_VSPatch	#C1_CS_DA	#C1_CS_VSPatch	#C1_US_DA	#C1_US_VSPatch
0	0	Base	0.2231	0.3281	0.1229	0.03135	0.03753	0.07724	0.1242	0.1242	0	0.3025	1.142	0	0.107	0.842	1.101	0	-0.0477	0.5365
0	1	Base	0.01486	0.9741	0.03031	0.03093	0.03145	0.04788	0	0	0	0.09511	0.104	0.01879	-0.0659	0.1556	0.0898	0.01151	0.01048	0.05411
