|Run	|Epoch	$RunName	#Rew	#RewPred	#RewPred_NR	#DA	#DA_NR	#PerTrlMSec	#Cond_0_Rew	#Cond_0_RewPred	#Cond_0_DA	#Cond_0_RewPred_NR	#Cond_0_DA_NR	#Cond_1_Rew	#Cond_1_RewPred	#Cond_1_DA	#Cond_1_RewPred_NR	#Cond_1_DA_NR	#Cond_2_Rew	#Cond_2_RewPred	#Cond_2_DA	#Cond_2_RewPred_NR	#Cond_2_DA_NR	#Cond_3_Rew	#Cond_3_RewPred	#Cond_3_DA	#Cond_3_RewPred_NR	#Cond_3_DA_NR
0	22	Base	0.449	0.4381	0.0325	0.01084	0	6.523	0.1785	0.2069	-0.02839	0.03664	0	0.3471	0.3375	0.00964	0	0	0.6	0.5575	0.04252	0.08254	0	0.6702	0.6507	0.01958	0.01081	0
0	23	Base	0.4454	0.47	0.03585	-0.02458	-0.0135	6.669	0.1363	0.1122	0.0241	0.007386	0	0.3611	0.4005	-0.0394	0	0	0.5578	0.6243	-0.0665	0.09445	-0.0273	0.7264	0.743	-0.01654	0.04155	-0.0267
0	24	Base	0.4525	0.4281	0.02808	0.02437	0	6.401	0.2206	0.2077	0.013	0.03361	0	0.333	0.3242	0.008827	0	0	0.5719	0.522	0.04987	0.06646	0	0.6843	0.6585	0.0258	0.01224	0
0	25	Base	0.4244	0.4395	0.03204	-0.01516	0	6.93	0.1785	0.2094	-0.03089	0.02496	0	0.2768	0.3045	-0.02765	0	0	0.5438	0.5231	0.02073	0.07047	0	0.6983	0.7212	-0.02282	0.03271	0
0	26	Base	0.4841	0.4489	0.03555	0.03523	-0.01348	6.67	0.2347	0.2043	0.03041	0.02677	0	0.3752	0.3495	0.02574	0	0	0.5859	0.5609	0.02505	0.08707	-0.02555	0.7405	0.6808	0.0597	0.02835	-0.02835
0	27	Base	0.4595	0.4493	0.02989	0.01017	-0.006473	6.817	0.2347	0.2203	0.0144	0.04016	0	0.333	0.3048	0.0282	0	0	0.5297	0.5211	0.008653	0.05827	-0.02589	0.7405	0.7511	-0.01057	0.02112	0
0	28	Base	0.449	0.4498	0.032	-0.0008286	-0.00642	6.626	0.1504	0.1973	-0.0469	0.0299	0	0.3471	0.3575	-0.01044	0	0	0.5297	0.5088	0.02095	0.07174	-0.02568	0.7686	0.7355	0.03307	0.02637	0
0	29	Base	0.456	0.4524	0.03408	0.003579	-0.007118	6.96	0.2628	0.2099	0.05289	0.02813	0	0.3049	0.2936	0.01134	0	0	0.5297	0.5442	-0.01442	0.07495	-0.02847	0.7264	0.7619	-0.03549	0.03323	0
0	30	Base	0.4665	0.462	0.03322	0.004563	-0.008016	6.331	0.1644	0.2416	-0.07711	0.04273	0	0.3611	0.3598	0.001302	0	0	0.6	0.5228	0.07719	0.06305	-0.03206	0.7405	0.7236	0.01687	0.02712	0
0	31	Base	0.4349	0.4086	0.02721	0.02636	-0.01282	6.535	0.1785	0.1229	0.05564	0.005484	0	0.3892	0.355	0.0342	0	0	0.5578	0.5339	0.02394	0.08251	-0.05128	0.614	0.6224	-0.008355	0.02085	0
0	32	Base	0.4665	0.467	0.03345	-0.000504	0	6.955	0.1785	0.196	-0.01747	0.03511	0	0.4033	0.4203	-0.01702	0	0	0.5297	0.5234	0.006361	0.06623	0	0.7545	0.7284	0.02611	0.03244	0
0	33	Base	0.4806	0.4715	0.02724	0.009098	0	6.381	0.1363	0.1813	-0.04497	0.02917	0	0.4173	0.455	-0.03763	0	0	0.6421	0.5584	0.08373	0.06921	0	0.7264	0.6912	0.03526	0.01057	0
0	34	Base	0.4349	0.4323	0.02781	0.002599	-0.0162	6.536	0.1363	0.08222	0.05413	0	0	0.4314	0.3876	0.04377	0	0	0.4876	0.5175	-0.02992	0.0648	-0.0648	0.6843	0.7419	-0.05758	0.04645	0
0	35	Base	0.4419	0.4164	0.01399	0.02558	0	7.036	0.1363	0.1319	0.004471	0.0007875	0	0.333	0.3566	-0.02357	0	0	0.5438	0.4692	0.07461	0.02368	0	0.7545	0.7077	0.04679	0.03151	0
0	36	Base	0.4419	0.4343	0.03224	0.007642	-0.01614	6.621	0.1925	0.1911	0.001457	0.02716	0	0.3611	0.3204	0.04071	0	0	0.5438	0.5231	0.02074	0.06905	-0.06457	0.6702	0.7026	-0.03234	0.03273	0
0	37	Base	0.4103	0.4217	0.01847	-0.0114	-0.006722	7.016	0.08015	0.1341	-0.05394	0.006219	0	0.333	0.3573	-0.0243	0	0	0.5016	0.5016	1.73e-05	0.04238	-0.02689	0.7264	0.6938	0.03263	0.02528	0
0	38	Base	0.4384	0.4127	0.01677	0.02571	0	7.126	0.2206	0.143	0.07769	0.009458	0	0.3471	0.3452	0.001891	0	0	0.4876	0.4562	0.03144	0.03066	0	0.6983	0.7065	-0.00819	0.02697	0
0	39	Base	0.4946	0.492	0.02532	0.002595	0	7.335	0.2066	0.2274	-0.02078	0.03788	0	0.4595	0.4467	0.01284	0.001963	0	0.5719	0.5851	-0.01317	0.04167	0	0.7405	0.709	0.03149	0.01978	0
