#X	#Y	$Label
0	22.916015625	
0	22.916015625	
0	17.95703125	
8.256971317456397	17.95703125	
8.256971317456397	13.2890625	
12.516218610848956	13.2890625	
12.516218610848956	8.578125	
16.766272485171047	8.578125	
16.766272485171047	5.15625	
20.88426776125621	5.15625	
20.88426776125621	3.5625	
24.996446254020054	3.5625	
24.996446254020054	2.625	
29.049259756861538	2.625	
29.049259756861538	1.75	
32.89117372747636	1.75	
32.89117372747636	1	
35.70065030501603	1	
35.70065030501603	0.5	
37.682339198804705	0.5	
37.682339198804705	0.5	21
35.70065030501603	0.5	
35.70065030501603	1.5	
37.682339198804705	1.5	
37.682339198804705	1.5	13
35.70065030501603	1.5	
35.70065030501603	1	
32.89117372747636	1	
32.89117372747636	2.5	
35.70065030501603	2.5	
35.70065030501603	2.5	15
32.89117372747636	2.5	
32.89117372747636	1.75	
29.049259756861538	1.75	
29.049259756861538	3.5	
32.89117372747636	3.5	
32.89117372747636	3.5	17
29.049259756861538	3.5	
29.049259756861538	2.625	
24.996446254020054	2.625	
24.996446254020054	4.5	
29.049259756861538	4.5	
29.049259756861538	4.5	16
24.996446254020054	4.5	
24.996446254020054	3.5625	
20.88426776125621	3.5625	
20.88426776125621	6.75	
24.996446254020054	6.75	
24.996446254020054	6	
28.911996950331215	6	
28.911996950331215	5.5	
32.07246312754764	5.5	
32.07246312754764	5.5	24
28.911996950331215	5.5	
28.911996950331215	6.5	
32.07246312754764	6.5	
32.07246312754764	6.5	0
28.911996950331215	6.5	
28.911996950331215	6	
24.996446254020054	6	
24.996446254020054	7.5	
28.911996950331215	7.5	
28.911996950331215	7.5	6
24.996446254020054	7.5	
24.996446254020054	6.75	
20.88426776125621	6.75	
20.88426776125621	5.15625	
16.766272485171047	5.15625	
16.766272485171047	12	
20.88426776125621	12	
20.88426776125621	9.75	
24.910858861668526	9.75	
24.910858861668526	9	
28.55498953609991	9	
28.55498953609991	8.5	
31.85373060876145	8.5	
31.85373060876145	8.5	8
28.55498953609991	8.5	
28.55498953609991	9.5	
31.85373060876145	9.5	
31.85373060876145	9.5	7
28.55498953609991	9.5	
28.55498953609991	9	
24.910858861668526	9	
24.910858861668526	10.5	
28.55498953609991	10.5	
28.55498953609991	10.5	2
24.910858861668526	10.5	
24.910858861668526	9.75	
20.88426776125621	9.75	
20.88426776125621	14.25	
24.910858861668526	14.25	
24.910858861668526	13	
28.442444620361808	13	
28.442444620361808	12	
32.0014676145172	12	
32.0014676145172	11.5	
35.46477846253887	11.5	
35.46477846253887	11.5	5
32.0014676145172	11.5	
32.0014676145172	12.5	
35.46477846253887	12.5	
35.46477846253887	12.5	1
32.0014676145172	12.5	
32.0014676145172	12	
28.442444620361808	12	
28.442444620361808	14	
32.0014676145172	14	
32.0014676145172	13.5	
34.807940220590794	13.5	
34.807940220590794	13.5	9
32.0014676145172	13.5	
32.0014676145172	14.5	
34.807940220590794	14.5	
34.807940220590794	14.5	3
32.0014676145172	14.5	
32.0014676145172	14	
28.442444620361808	14	
28.442444620361808	13	
24.910858861668526	13	
24.910858861668526	15.5	
28.442444620361808	15.5	
28.442444620361808	15.5	4
24.910858861668526	15.5	
24.910858861668526	14.25	
20.88426776125621	14.25	
20.88426776125621	12	
16.766272485171047	12	
16.766272485171047	8.578125	
12.516218610848956	8.578125	
12.516218610848956	18	
16.766272485171047	18	
16.766272485171047	17	
20.831808931320595	17	
20.831808931320595	16.5	
24.182858398155922	16.5	
24.182858398155922	16.5	18
20.831808931320595	16.5	
20.831808931320595	17.5	
24.182858398155922	17.5	
24.182858398155922	17.5	10
20.831808931320595	17.5	
20.831808931320595	17	
16.766272485171047	17	
16.766272485171047	19	
20.831808931320595	19	
20.831808931320595	18.5	
23.122831275479793	18.5	
23.122831275479793	18.5	19
20.831808931320595	18.5	
20.831808931320595	19.5	
23.122831275479793	19.5	
23.122831275479793	19.5	11
20.831808931320595	19.5	
20.831808931320595	19	
16.766272485171047	19	
16.766272485171047	18	
12.516218610848956	18	
12.516218610848956	13.2890625	
8.256971317456397	13.2890625	
8.256971317456397	22.625	
12.516218610848956	22.625	
12.516218610848956	21.75	
16.424007298163897	21.75	
16.424007298163897	21	
19.422885988039155	21	
19.422885988039155	20.5	
21.2366955590196	20.5	
21.2366955590196	20.5	20
19.422885988039155	20.5	
19.422885988039155	21.5	
21.2366955590196	21.5	
21.2366955590196	21.5	12
19.422885988039155	21.5	
19.422885988039155	21	
16.424007298163897	21	
16.424007298163897	22.5	
19.422885988039155	22.5	
19.422885988039155	22.5	14
16.424007298163897	22.5	
16.424007298163897	21.75	
12.516218610848956	21.75	
12.516218610848956	23.5	
16.424007298163897	23.5	
16.424007298163897	23.5	22
12.516218610848956	23.5	
12.516218610848956	22.625	
8.256971317456397	22.625	
8.256971317456397	17.95703125	
0	17.95703125	
0	27.875	
8.256971317456397	27.875	
8.256971317456397	26	
12.399109967998852	26	
12.399109967998852	25	
15.494953138962146	25	
15.494953138962146	24.5	
18.493855104961582	24.5	
18.493855104961582	24.5	29
15.494953138962146	24.5	
15.494953138962146	25.5	
18.493855104961582	25.5	
18.493855104961582	25.5	27
15.494953138962146	25.5	
15.494953138962146	25	
12.399109967998852	25	
12.399109967998852	27	
15.494953138962146	27	
15.494953138962146	26.5	
17.692028860386223	26.5	
17.692028860386223	26.5	28
15.494953138962146	26.5	
15.494953138962146	27.5	
17.692028860386223	27.5	
17.692028860386223	27.5	25
15.494953138962146	27.5	
15.494953138962146	27	
12.399109967998852	27	
12.399109967998852	26	
8.256971317456397	26	
8.256971317456397	29.75	
12.399109967998852	29.75	
12.399109967998852	29	
14.809414086674632	29	
14.809414086674632	28.5	
16.755262851092695	28.5	
16.755262851092695	28.5	30
14.809414086674632	28.5	
14.809414086674632	29.5	
16.755262851092695	29.5	
16.755262851092695	29.5	26
14.809414086674632	29.5	
14.809414086674632	29	
12.399109967998852	29	
12.399109967998852	30.5	
14.809414086674632	30.5	
14.809414086674632	30.5	23
12.399109967998852	30.5	
12.399109967998852	29.75	
8.256971317456397	29.75	
8.256971317456397	27.875	
0	27.875	
0	22.916015625	
0	22.916015625	
0	22.916015625	
