$Time	#Prjn0	#Prjn1
3	0.3146199929655199	-0.05906171005229649
4	1.09967081461861	-0.7181922430891855
5	0.6341690278204122	-1.0980833710727498
6	1.6799259263726456	-1.1206395896023977
7	1.3867657596510166	-1.2880812476035746
8	1.7924673620873885	-1.18439678985768
9	0.26962452749302385	-0.48193786759629104
10	0.09559842632601101	-0.10144628697229764
11	0.19707519294375106	-0.07257993201535287
12	0.7956778520600774	-1.0093226425936432
13	1.0856362260056271	-0.13691686363233502
14	0.3867299353656341	-0.8378153320618864
15	-1.318936357969	-0.8491593474773752
16	1.092749713197732	2.3242385989002816
17	-1.572406333853627	-1.285094590769216
18	1.3163724268260102	2.02421945742504
19	-0.3946153139773515	-0.2976643971883196
20	0.49336955096610835	1.5896046950491851
21	0.18946651642556156	-0.7408471395799586
22	0.8334418649652717	-0.623153547710762
23	-1.4167087090517654	-0.9350979551506159
24	1.5014947902568976	1.82228036669666
25	-0.14824270043248503	-1.6269648375948491
26	-0.6289092769630831	0.4476802409658375
27	1.6436983016373456	1.1270985966030893
28	-1.2992855787371624	-0.3917793200676511
29	-1.4102881454274165	1.0506500152873939
30	-1.267537105816559	0.9434652294374934
0	-1.9285509789600286	0.4484652477026076
1	-1.640123712598917	0.941380399276989
2	-1.3773938466106932	0.9089804350389415
