#CHL	$Cond	#SMhz	#SPhz	#RMhz	#RPhz	#DWt
0	S:25-25 R:25-25	25	25	25	25	0.0554658
0.1875	S:25-50 R:25-50	25	50	25	50	0.0331411
0.9375	S:25-100 R:25-100	25	100	25	100	0.158046
-0.1875	S:50-25 R:50-25	50	25	50	25	0.00251712
0	S:50-50 R:50-50	50	50	50	50	0.0483113
0.75	S:50-100 R:50-100	50	100	50	100	0.0986333
-0.9375	S:100-25 R:100-25	100	25	100	25	0.356949
-0.75	S:100-50 R:100-50	100	50	100	50	0.316411
0	S:100-100 R:100-100	100	100	100	100	0.323784
