|Trial	#Hz[1:0]<1:4>	#Hz[1:1]	#Hz[1:2]	#Hz[1:3]	#State[1:0]<1:4>	#State[1:1]	#State[1:2]	#State[1:3]	#StdCa[1:0]<1:2>	#StdCa[1:1]	#PredCa[1:0]<1:2>	#PredCa[1:1]	#ErrCa[1:0]<1:2>	#ErrCa[1:1]	#SSE
0	10	10	10	10	0	0	0.10000000149011612	0	0.02488897368311882	0.04088364914059639	0.052467220094460885	0.04848132245519174	-0.027578246411342065	-0.007597673314595349	0
1	10	10	10	10	0.10000000149011612	0	0.10000000149011612	0	0.027348846197128296	0.049923524260520935	0.06012866304253633	0.07348132282772077	-0.03277981684540803	-0.023557798567199834	0
0	10	10	10	20	0	0	0	0	0.028470711782574654	0.039214927703142166	0	0	0.028470711782574654	0.039214927703142166	0
1	10	10	10	20	0	0.10000000149011612	0	0	0.027752740308642387	0.04237902909517288	0.02845727479709248	0.048340349627437024	-0.0007045344884500926	-0.005961320532264142	0
0	10	10	10	30	0	0	0	0	0.033969368785619736	0.031209271401166916	0	0	0.033969368785619736	0.031209271401166916	0
1	10	10	10	30	0	0	0	0	0.04213124141097069	0.06028265133500099	0	0	0.04213124141097069	0.06028265133500099	0
0	10	10	10	40	0	0	0	0	0.11135654896497726	0.0795879140496254	0	0	0.11135654896497726	0.0795879140496254	0
1	10	10	10	40	0	0.10000000149011612	0	0	0.12452030181884766	0.0996176227927208	0.02845727479709248	0.048340349627437024	0.09606302702175518	0.05127727316528377	0
0	10	10	10	50	0	0	0	0	0.09976213425397873	0.07536127418279648	0	0	0.09976213425397873	0.07536127418279648	0
1	10	10	10	50	0	0	0.10000000149011612	0	0.08288559317588806	0.07526950538158417	0.052467220094460885	0.04848132245519174	0.030418373081427176	0.02678818292639243	0
0	10	10	10	60	0	0	0.10000000149011612	0	0.15673504769802094	0.10760282725095749	0.052467220094460885	0.04848132245519174	0.10426782760356004	0.05912150479576575	0
1	10	10	10	60	0	0	0.10000000149011612	0	0.14232571423053741	0.10114432871341705	0.052467220094460885	0.04848132245519174	0.08985849413607652	0.052663006258225314	0
0	10	10	10	70	0	0	0	0	0.13876178860664368	0.09798382967710495	0	0	0.13876178860664368	0.09798382967710495	0
1	10	10	10	70	0	0	0	0.4000000059604645	0.22881846129894257	0.12404488027095795	0.2452203841403416	0.11546113399407683	-0.016401922841399047	0.008583746276881118	0
0	10	10	10	80	0	0	0	0.5	0.2502415180206299	0.14230190217494965	0.3065254756078415	0.14432641534196486	-0.05628395758721161	-0.0020245131670152128	0
1	10	10	10	80	0	0	0.10000000149011612	0	0.19718880951404572	0.1377759575843811	0.052467220094460885	0.04848132245519174	0.14472158941958482	0.08929463512918936	0
0	10	10	10	90	0	0.10000000149011612	0	0	0.2389078140258789	0.15825948119163513	0.02845727479709248	0.048340349627437024	0.21045053922878643	0.10991913156419811	0
1	10	10	10	90	0	0	0	0	0.15417182445526123	0.11584092676639557	0	0	0.15417182445526123	0.11584092676639557	0
0	10	10	10	100	0	0	0.10000000149011612	0	0.14695370197296143	0.11184307932853699	0.052467220094460885	0.04848132245519174	0.09448648187850053	0.06336175687334525	0
1	10	10	10	100	0	0	0	0	0.12411625683307648	0.09707676619291306	0	0	0.12411625683307648	0.09707676619291306	0
0	10	10	20	10	0	0	0.10000000149011612	0	0.03929357975721359	0.08179229497909546	0.052467220094460885	0.04848132245519174	-0.013173640337247293	0.03331097252390372	0
1	10	10	20	10	0.20000000298023224	0	0.10000000149011612	0	0.04673349857330322	0.06853170692920685	0.06779010599061176	0.0984813232002498	-0.02105660741730854	-0.02994961627104295	0
0	10	10	20	20	0.20000000298023224	0	0.20000000298023224	0	0.08708225935697556	0.08514837175607681	0.12025732608507265	0.14696264565544154	-0.0331750667280971	-0.061814273899364724	0
1	10	10	20	20	0.10000000149011612	0	0	0.10000000149011612	0.08798138052225113	0.07702166587114334	0.06896653898316084	0.05386528387104824	0.01901484153909029	0.0231563820000951	0
0	10	10	20	30	0	0.10000000149011612	0	0.20000000298023224	0.08069030940532684	0.06273575127124786	0.15106746686726327	0.10607091662447544	-0.07037715746193643	-0.04333516535322758	0
1	10	10	20	30	0	0.10000000149011612	0	0.20000000298023224	0.0710446909070015	0.05297164246439934	0.15106746686726327	0.10607091662447544	-0.08002277596026178	-0.05309927416007611	0
0	10	10	20	40	0	0.10000000149011612	0	0.20000000298023224	0.1922340840101242	0.11365956813097	0.15106746686726327	0.10607091662447544	0.041166617142860934	0.0075886515064945564	0
1	10	10	20	40	0	0.10000000149011612	0	0.20000000298023224	0.16960617899894714	0.13690967857837677	0.15106746686726327	0.10607091662447544	0.01853871213168387	0.030838761953901325	0
0	10	10	20	50	0	0.10000000149011612	0	0.30000001192092896	0.22581171989440918	0.13612139225006104	0.21237256746993421	0.13493620227362582	0.013439152424474965	0.0011851899764352136	0
1	10	10	20	50	0	0.10000000149011612	0	0.20000000298023224	0.1703193038702011	0.117377869784832	0.15106746686726327	0.10607091662447544	0.01925183700293784	0.011306953160356556	0
0	10	10	20	60	0	0.10000000149011612	0	0.30000001192092896	0.2052190750837326	0.12601277232170105	0.21237256746993421	0.13493620227362582	-0.00715349238620161	-0.008923429951924772	0
1	10	10	20	60	0	0.10000000149011612	0	0.20000000298023224	0.2119935005903244	0.12304487824440002	0.15106746686726327	0.10607091662447544	0.06092603372306113	0.01697396161992458	0
0	10	10	20	70	0	0	0	0.30000001192092896	0.04500272497534752	0.05632655695080757	0.18391529267284173	0.0865958526461888	-0.13891256769749422	-0.030269295695381226	0
1	10	10	20	70	0	0	0	0	0.055585458874702454	0.08208100497722626	0	0	0.055585458874702454	0.08208100497722626	0
0	10	10	20	80	0.10000000149011612	0.10000000149011612	0	0	0.06382254511117935	0.07832098752260208	0.03611871774516792	0.07334034999996605	0.02770382736601143	0.004980637522636028	0
1	10	10	20	80	0.10000000149011612	0	0.10000000149011612	0	0.11852609366178513	0.09840068966150284	0.06012866304253633	0.07348132282772077	0.0583974306192488	0.02491936683378207	0
0	10	10	20	90	0.10000000149011612	0	0.10000000149011612	0	0.10919015109539032	0.11766640841960907	0.06012866304253633	0.07348132282772077	0.04906148805285399	0.0441850855918883	0
1	10	10	20	90	0.10000000149011612	0	0.10000000149011612	0	0.11892927438020706	0.12992893159389496	0.06012866304253633	0.07348132282772077	0.058800611337670734	0.05644760876617419	0
