$JobLabel	$JobID	|Expt	$RunName	#PerTrialMSec	#NCorrect	#Rew	#RewPred	#RPE	#RT	#EpochsToCrit	#NFail	#PF_ActMAvg	#PF_ActMMax	#PF_MaxGeM	#M1_ActMAvg	#M1_ActMMax	#M1_MaxGeM	#M1CT_ActMAvg	#M1CT_ActMMax	#M1CT_MaxGeM	#MotorBS_ActMAvg	#MotorBS_ActMMax	#MotorBS_MaxGeM	#PF_PCA_NStrong	#PF_PCA_Top5	#PF_PCA_Next	#PF_PCA_Rest	#M1_PCA_NStrong	#M1_PCA_Top5	#M1_PCA_Next	#M1_PCA_Rest	#M1CT_PCA_NStrong	#M1CT_PCA_Top5	#M1CT_PCA_Next	#M1CT_PCA_Rest	#MotorBS_PCA_NStrong	#MotorBS_PCA_Top5	#MotorBS_PCA_Next	#MotorBS_PCA_Rest
syn pf test	ore00328	0	Base_000	60.11	3.859	0.9577	0.2444	0.7168	90.71	35.1	6.239999771118164	0.01913	0.09626	0.1066	0.02064	0.07607	0.2187	0.007204	0.03602	0.0373	0.01805	0.08081	0.0801	0.05406	0.006958	1.711E-05	0.001396	0.05125	0.00529	4.755E-06	0.0008151	0.05016	0.0006157	1.146E-05	9.766E-05	0.05203	0.005033	6.122E-06	0.001008
syn pf test	ore00328	1	TD	0	0	0	0	0	0	76.5199966430664	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
