$JobLabel	$JobID	|Expt	$RunName	#PerTrialMSec	#NCorrect	#Rew	#RewPred	#RPE	#RT	#EpochsToCrit	#NFail	#PPD1Cor	#PPD1Err	#PPD2Cor	#PPD2Err	#PPDAD1Cor	#PPDAD1Err	#PPDAD2Cor	#PPDAD2Err	#PPDAD1Cur	#PPDAD2Cur	#PF_ActMAvg	#PF_ActMMax	#PF_MaxGeM	#M1_ActMAvg	#M1_ActMMax	#M1_MaxGeM	#M1CT_ActMAvg	#M1CT_ActMMax	#M1CT_MaxGeM	#M1PT_ActMAvg	#M1PT_ActMMax	#M1PT_MaxGeM	#M1PTp_ActMAvg	#M1PTp_ActMMax	#M1PTp_MaxGeM	#MotorBS_ActMAvg	#MotorBS_ActMMax	#MotorBS_MaxGeM	#PF_PCA_NStrong	#PF_PCA_Top5	#PF_PCA_Next	#PF_PCA_Rest	#M1_PCA_NStrong	#M1_PCA_Top5	#M1_PCA_Next	#M1_PCA_Rest	#M1CT_PCA_NStrong	#M1CT_PCA_Top5	#M1CT_PCA_Next	#M1CT_PCA_Rest	#M1PT_PCA_NStrong	#M1PT_PCA_Top5	#M1PT_PCA_Next	#M1PT_PCA_Rest	#M1PTp_PCA_NStrong	#M1PTp_PCA_Top5	#M1PTp_PCA_Next	#M1PTp_PCA_Rest	#MotorBS_PCA_NStrong	#MotorBS_PCA_Top5	#MotorBS_PCA_Next	#MotorBS_PCA_Rest
BG	ore00587	0	Base_000	77.05	4.972	0.9917	0.2671	0.7283	116.6	13.54	1.600000023841858	0.3249	0.1455	0.0004775	0.1644	0.9336	0.3617	0.0005597	0.5544	0.9313	0.002776	0.01907	0.102	0.1077	0.01871	0.07769	0.2142	0.005949	0.03296	0.02988	0.01297	0.09133	0.1389	0.01063	0.02651	0.03246	0.01681	0.08261	0.07415	0.025	0.003025	2.767E-06	0.0006057	0.02625	0.002208	1.116E-05	0.0003416	0.02391	0.000261	6.897E-06	4.18E-05	0.04047	0.001969	7.502E-05	0.0003175	0.02109	0.0004278	1.365E-05	6.952E-05	0.025	0.002181	8.609E-07	0.0004365
TD	ore00594	0	Base_000	80.47	4.978	0.9932	0.2623	0.7346	102.5	291	14	0.2991	0.1165	0.0006265	0.1922	0.8361	0.2707	0.0004872	0.652	0.8343	0.002646	0.01981	0.1022	0.1132	0.02001	0.08298	0.2322	0.006268	0.03259	0.03047	0.01359	0.0944	0.1479	0.01162	0.0294	0.03834	0.01774	0.08589	0.08109	0.08906	0.01051	2.341E-05	0.002108	0.08906	0.008786	1.192E-05	0.001354	0.07906	0.0009169	2.326E-05	0.0001467	0.1178	0.007373	0.0001759	0.001169	0.06766	0.001698	3.157E-05	0.0002704	0.0875	0.008253	8.971E-06	0.001653
