#X	#Y	#DWt
-50	0	-0.157624
-45	0	-0.17798
-40	0	-0.203172
-35	0	-0.234184
-30	0	-0.271739
-25	0	-0.315121
-20	0	-0.358911
-15	0	-0.388961
-10	0	-0.391764
-5	0	-0.387268
0	0	-0.0712395
5	0	0.306871
10	0	0.339079
15	0	0.270277
20	0	0.194635
25	0	0.129966
30	0	0.0795843
35	0	0.0420423
40	0	0.0146541
45	0	-0.00516548
50	0	-0.0195015
