|Run	|Epoch	$RunName	#CorSim	#UnitErr	#PctErr	#PctCor	#PctErr2	#V4_AvgCaDiff	#V4_Gnmda	#V4_GgabaB	#V4_SSGi	#IT_AvgCaDiff	#IT_Gnmda	#IT_GgabaB	#IT_SSGi	#Output_AvgCaDiff	#Output_Gnmda	#Output_GgabaB	#Output_SSGi	#TstCorSim	#TstUnitErr	#TstPctCor	#TstPctErr	#PerTrlMSec	#V4_ActMAvg	#V4_ActMMax	#V4_MaxGeM	#V4_CorDiff	#V4_GiMult	#IT_ActMAvg	#IT_ActMMax	#IT_MaxGeM	#IT_CorDiff	#IT_GiMult	#Output_ActMAvg	#Output_ActMMax	#Output_MaxGeM	#Output_CorDiff	#Output_GiMult	#V1_ActAvg	#V4_PCA_NStrong	#V4_PCA_Top5	#V4_PCA_Next5	#V4_PCA_Rest	#IT_PCA_NStrong	#IT_PCA_Top5	#IT_PCA_Next5	#IT_PCA_Rest	#Output_PCA_NStrong	#Output_PCA_Top5	#Output_PCA_Next5	#Output_PCA_Rest
0	0	gpu_nd8_Base	0.01417	0.05	0.9417	0.05833	0.8917	-0.001929	0.2248	0.2697	0.01715	0.006146	0.22	0.1756	0.01163	-0.008048	0.04854	0.2673	0.02978	0	0	0	0	0	0.02933	0.3992	1.098	0.09255	1	0.02671	0.2391	0.8255	0.2678	1	0.02223	0.2928	0.7579	0.9858	1	0.07315	70	0.1457	0.06958	0.004121	18	0.01738	0.01378	0.001981	0	0.007389	0.005317	0.001172
0	1	gpu_nd8_Base	0.102	0.05	0.8281	0.1719	0.7422	-0.001791	0.221	0.2593	0.01568	0.0058	0.2205	0.17	0.01131	-0.008088	0.04886	0.272	0.02768	0	0	0	0	148.8	0.02991	0.4082	1.137	0.08486	1	0.02693	0.2413	0.766	0.2667	1	0.02381	0.3353	0.6709	0.898	1	0.06974	70	0.1457	0.06958	0.004121	18	0.01738	0.01378	0.001981	0	0.007389	0.005317	0.001172
0	2	gpu_nd8_Base	0.2725	0.05	0.6797	0.3203	0.5391	-0.001906	0.2262	0.2363	0.01456	0.006048	0.2168	0.1629	0.01148	-0.008384	0.0495	0.271	0.03016	0	0	0	0	144.5	0.02869	0.4237	1.171	0.07942	1	0.02628	0.2473	0.7228	0.2731	1	0.02907	0.4309	0.6419	0.7275	1	0.0687	70	0.1457	0.06958	0.004121	18	0.01738	0.01378	0.001981	0	0.007389	0.005317	0.001172
0	3	gpu_nd8_Base	0.3684	0.04984	0.6172	0.3828	0.4609	-0.00186	0.225	0.2377	0.01381	0.006013	0.2178	0.161	0.01136	-0.00892	0.04967	0.2735	0.03086	0	0	0	0	144.5	0.02873	0.4445	1.197	0.07388	1	0.02642	0.2535	0.7092	0.2562	1	0.03336	0.4642	0.6399	0.6316	1	0.06769	70	0.1457	0.06958	0.004121	18	0.01738	0.01378	0.001981	0	0.007389	0.005317	0.001172
0	4	gpu_nd8_Base	0.3855	0.04805	0.5938	0.4062	0.4531	-0.001706	0.2262	0.2438	0.01458	0.006146	0.2174	0.1528	0.01087	-0.008921	0.0502	0.2697	0.03219	0	0	0	0	147	0.02837	0.4685	1.225	0.0686	1	0.02637	0.2662	0.6931	0.2516	1	0.03793	0.5552	0.6598	0.6145	1	0.06686	70	0.1457	0.06958	0.004121	18	0.01738	0.01378	0.001981	0	0.007389	0.005317	0.001172
0	5	gpu_nd8_Base	0.4219	0.04641	0.5547	0.4453	0.4062	-0.002034	0.2258	0.2389	0.01455	0.006438	0.2185	0.1503	0.01112	-0.009041	0.05062	0.2707	0.03337	0	0	0	0	145.5	0.02833	0.4923	1.227	0.06704	1	0.02597	0.2694	0.6959	0.2414	1	0.03972	0.5898	0.6758	0.5781	1	0.06635	63	0.1868	0.0909	0.00377	16	0.03355	0.01773	0.001685	17	0.07274	0.04048	0.002262
0	6	gpu_nd8_Base	0.4792	0.04422	0.4844	0.5156	0.375	-0.001296	0.2298	0.2396	0.01322	0.0067	0.224	0.1444	0.01109	-0.008917	0.05014	0.2548	0.03279	0	0	0	0	146.3	0.02848	0.504	1.232	0.05568	1	0.02533	0.2832	0.7067	0.2164	1	0.04287	0.6149	0.6869	0.5208	1	0.06653	63	0.1868	0.0909	0.00377	16	0.03355	0.01773	0.001685	17	0.07274	0.04048	0.002262
