|Run	|Epoch	$RunName	#CorSim	#UnitErr	#PctErr	#PctCor	#PctErr2	#V4_AvgCaDiff	#V4_Gnmda	#V4_GgabaB	#V4_SSGi	#IT_AvgCaDiff	#IT_Gnmda	#IT_GgabaB	#IT_SSGi	#Output_AvgCaDiff	#Output_Gnmda	#Output_GgabaB	#Output_SSGi	#TstCorSim	#TstUnitErr	#TstPctCor	#TstPctErr	#PerTrlMSec	#V4_ActMAvg	#V4_ActMMax	#V4_MaxGeM	#V4_CorDiff	#V4_GiMult	#IT_ActMAvg	#IT_ActMMax	#IT_MaxGeM	#IT_CorDiff	#IT_GiMult	#Output_ActMAvg	#Output_ActMMax	#Output_MaxGeM	#Output_CorDiff	#Output_GiMult	#V1_ActAvg	#V4_PCA_NStrong	#V4_PCA_Top5	#V4_PCA_Next5	#V4_PCA_Rest	#IT_PCA_NStrong	#IT_PCA_Top5	#IT_PCA_Next5	#IT_PCA_Rest	#Output_PCA_NStrong	#Output_PCA_Top5	#Output_PCA_Next5	#Output_PCA_Rest
0	0	cpu_nd2_Base	0.009354	0.05	0.8968	0.1032	0.8889	-0.002183	0.2282	0.2646	0.01501	0.00618	0.2168	0.1638	0.01147	-0.008014	0.04782	0.2708	0.02841	0	0	0	0	0	0.02881	0.3887	1.08	0.08876	1	0.02688	0.2378	0.6123	0.2712	1	0.02167	0.2794	0.5262	0.9906	1	0.06752	71	0.1408	0.0696	0.004135	18	0.01729	0.01356	0.002018	0	0.006863	0.004931	0.001127
0	1	cpu_nd2_Base	0.06372	0.05008	0.8672	0.1328	0.7891	-0.001938	0.2237	0.2525	0.01448	0.006589	0.2137	0.1689	0.01132	-0.008064	0.04918	0.2665	0.02981	0	0	0	0	190.1	0.02889	0.3909	1.059	0.08619	1	0.02702	0.2421	0.6227	0.2705	1	0.02358	0.3281	0.5112	0.9363	1	0.06778	71	0.1408	0.0696	0.004135	18	0.01729	0.01356	0.002018	0	0.006863	0.004931	0.001127
0	2	cpu_nd2_Base	0.1732	0.04984	0.7656	0.2344	0.625	-0.001933	0.2249	0.24	0.01477	0.006172	0.2172	0.1591	0.01091	-0.008624	0.04875	0.2734	0.02933	0	0	0	0	188.7	0.0287	0.4078	1.089	0.08208	1	0.02726	0.2447	0.6135	0.263	1	0.02754	0.3962	0.5511	0.8268	1	0.06768	71	0.1408	0.0696	0.004135	18	0.01729	0.01356	0.002018	0	0.006863	0.004931	0.001127
0	3	cpu_nd2_Base	0.2788	0.04922	0.6797	0.3203	0.5312	-0.001968	0.2231	0.2417	0.01471	0.00648	0.2176	0.1549	0.0109	-0.008573	0.0495	0.2677	0.02991	0	0	0	0	185.9	0.02858	0.4406	1.087	0.07791	1	0.02656	0.2549	0.6275	0.2647	1	0.03219	0.4664	0.584	0.7212	1	0.06656	71	0.1408	0.0696	0.004135	18	0.01729	0.01356	0.002018	0	0.006863	0.004931	0.001127
0	4	cpu_nd2_Base	0.3512	0.05	0.6484	0.3516	0.4453	-0.001585	0.2253	0.2453	0.01384	0.006278	0.218	0.1464	0.01101	-0.008882	0.04954	0.267	0.03252	0	0	0	0	183.2	0.02825	0.455	1.108	0.07089	1	0.02639	0.2641	0.6349	0.2465	1	0.03643	0.5437	0.6093	0.6488	1	0.06605	71	0.1408	0.0696	0.004135	18	0.01729	0.01356	0.002018	0	0.006863	0.004931	0.001127
0	5	cpu_nd2_Base	0.3637	0.04859	0.6172	0.3828	0.4844	-0.001703	0.2249	0.2391	0.01441	0.006509	0.2186	0.1474	0.01085	-0.00898	0.05008	0.2653	0.03248	0	0	0	0	182.5	0.02825	0.4785	1.127	0.06794	1	0.02595	0.2649	0.6403	0.2489	1	0.03834	0.5689	0.6035	0.6363	1	0.06608	64	0.1728	0.09185	0.003798	17	0.0308	0.01728	0.001741	16	0.06365	0.03862	0.002208
0	6	cpu_nd2_Base	0.4282	0.04555	0.5625	0.4375	0.4297	-0.001552	0.2284	0.2446	0.01454	0.006759	0.2247	0.1438	0.0108	-0.008737	0.05005	0.2565	0.03272	0	0	0	0	179.4	0.02866	0.5067	1.131	0.06096	1	0.02564	0.2823	0.6543	0.226	1	0.04218	0.6245	0.6275	0.5718	1	0.06728	64	0.1728	0.09185	0.003798	17	0.0308	0.01728	0.001741	16	0.06365	0.03862	0.002208
0	7	cpu_nd2_Base	0.4654	0.04422	0.5078	0.4922	0.3516	-0.001392	0.2237	0.2325	0.01402	0.006643	0.2214	0.1386	0.01095	-0.009054	0.05025	0.2544	0.03428	0	0	0	0	178.2	0.02807	0.5198	1.164	0.05801	1	0.02543	0.2866	0.6445	0.2232	1	0.04426	0.6497	0.6429	0.5346	1	0.06672	64	0.1728	0.09185	0.003798	17	0.0308	0.01728	0.001741	16	0.06365	0.03862	0.002208
0	8	cpu_nd2_Base	0.503	0.04453	0.4844	0.5156	0.3125	-0.001618	0.2296	0.2323	0.01415	0.006946	0.2232	0.1388	0.01052	-0.009041	0.05047	0.2481	0.03452	0	0	0	0	175.2	0.02832	0.5465	1.172	0.05201	1	0.02565	0.2963	0.6627	0.2096	1	0.04589	0.6618	0.6591	0.497	1	0.06681	64	0.1728	0.09185	0.003798	17	0.0308	0.01728	0.001741	16	0.06365	0.03862	0.002208
0	9	cpu_nd2_Base	0.4919	0.04195	0.4531	0.5469	0.3672	-0.001793	0.2445	0.2492	0.01446	0.007014	0.2253	0.1361	0.01036	-0.008782	0.05035	0.2417	0.035	0	0	0	0	174.3	0.02835	0.5632	1.199	0.04757	1	0.02521	0.3071	0.658	0.1936	1	0.04646	0.6825	0.6534	0.5081	1	0.06719	64	0.1728	0.09185	0.003798	17	0.0308	0.01728	0.001741	16	0.06365	0.03862	0.002208
