#X	#Y	#DWt	#VmS	#PreSpike	#NMDA_Mg	#NMDA_Nopen	#NMDA_Jca	#NMDA_G	#NMDA_Nt0	#NMDA_Nt1	#NMDA_Nt2	#Cyt_Ca	#PSD_Ca	#Cyt_CaM	#Cyt_Ca3CaM	#PSD_CaM	#PSD_Ca3CaM	#Cyt_CaMKIIact	#PSD_CaMKIIact	#Cyt_DAPK1act	#Cyt_DAPK1_AutoK	#PSD_DAPK1act	#PSD_DAPK1_AutoK	#Cyt_CaNact	#PSD_CaNact	#Cyt_AC1act	#Cyt_cAMP	#Cyt_PKAact	#PSD_AC1act	#PSD_cAMP	#PSD_PKAact	#Cyt_I1P	#Cyt_PP1act	#PSD_I1P	#PSD_PP1act	#Int_AMPAR	#Mbr_AMPAR	#PSD_AMPAR	#Trp_AMPAR
20	300	-0.126699	-64.9999	0	0.0405832	1.29269e-36	3.07916e-31	5.24615e-37	0.837519	0.15552	0.00696044	0.0500286	0.0500224	98.3352	0.000102447	98.3388	0.000137107	0.252616	1.92668	1.43507	0.139887	1.43521	0.139888	0.0535148	0.0535188	0.00124645	0.01032	0.0422773	0.00166801	0.010327	0.0422778	0.522844	0.0187621	0.522913	0.112637	6.30293	0.250528	0.282616	1.50279
30	300	-0.131674	-64.9999	0	0.0405832	1.26443e-36	3.01184e-31	5.13146e-37	0.835673	0.157288	0.00703958	0.0500317	0.0500248	99.6128	0.000111952	99.6165	0.00014993	0.256507	1.95728	1.54904	0.13984	1.54919	0.13984	0.0594386	0.059443	0.00136336	0.0110649	0.0456716	0.0018257	0.0110721	0.0456722	0.524328	0.0187101	0.524397	0.112324	6.31022	0.246532	0.278006	1.49423
40	300	-0.126888	-64.9999	0	0.0405832	1.23711e-36	2.94678e-31	5.02061e-37	0.833408	0.159455	0.00713663	0.0500355	0.0500278	101.19	0.000123281	101.193	0.000165233	0.261744	1.99951	1.68791	0.139781	1.68807	0.139781	0.0664964	0.066501	0.00150282	0.0120138	0.0529638	0.00201404	0.0120212	0.0529645	0.554615	0.0177061	0.554688	0.106297	6.30824	0.247265	0.274769	1.50247
50	300	-0.119237	-64.9999	0	0.0405832	1.21168e-36	2.88619e-31	4.91737e-37	0.832402	0.160418	0.00717975	0.0500371	0.050029	101.894	0.000128133	101.898	0.000171791	0.264413	2.02173	1.74905	0.139755	1.74922	0.139755	0.0695182	0.0695229	0.00156257	0.0124639	0.057948	0.00209481	0.0124713	0.0579486	0.581406	0.0169038	0.581482	0.10148	6.30205	0.250213	0.274551	1.51564
60	300	-0.0876532	-64.9999	0	0.0405832	1.19331e-36	2.84244e-31	4.84284e-37	0.830083	0.162638	0.00727916	0.0500407	0.0500319	103.526	0.000139275	103.53	0.000186862	0.272417	2.09167	1.8924	0.139693	1.89258	0.139694	0.0764627	0.0764677	0.0016999	0.0136719	0.0740604	0.00228052	0.0136795	0.0740609	0.668414	0.0147349	0.668503	0.0884593	6.27652	0.261608	0.27676	1.56998
70	300	-0.0857752	-64.9999	0	0.0405832	1.17878e-36	2.80782e-31	4.78385e-37	0.829845	0.162866	0.00728936	0.050041	0.0500322	103.695	0.000140171	103.699	0.000188074	0.273142	2.09788	1.90549	0.139687	1.90567	0.139688	0.0770205	0.0770255	0.00171095	0.0137728	0.0752996	0.00229546	0.0137804	0.0753001	0.674222	0.0146098	0.674311	0.0877081	6.27523	0.26211	0.276673	1.57322
80	300	-0.0881182	-64.9999	0	0.0405832	1.16834e-36	2.78297e-31	4.74151e-37	0.829882	0.162831	0.00728778	0.0500409	0.0500321	103.67	0.000139876	103.674	0.000187676	0.27272	2.09379	1.90222	0.139689	1.9024	0.139689	0.0768361	0.0768411	0.00170731	0.0137268	0.0744834	0.00229055	0.0137345	0.0744839	0.669471	0.014712	0.669559	0.0883217	6.27712	0.261319	0.27632	1.56918
90	300	-0.0984282	-64.9999	0	0.0405832	1.16062e-36	2.76458e-31	4.71018e-37	0.830399	0.162335	0.0072656	0.0500401	0.0500314	103.306	0.000137366	103.309	0.000184281	0.27042	2.07299	1.86947	0.139703	1.86965	0.139703	0.0752706	0.0752755	0.00167635	0.013414	0.0698413	0.0022487	0.0134217	0.0698418	0.644279	0.0152787	0.644364	0.0917241	6.28535	0.25779	0.275268	1.55144
100	300	-0.07031	-64.9999	0	0.0405832	1.14534e-36	2.72817e-31	4.64815e-37	0.829025	0.16365	0.00732449	0.0500422	0.0500331	104.276	0.000143969	104.279	0.000193209	0.276951	2.13252	1.95683	0.139665	1.95702	0.139665	0.0793905	0.0793956	0.00175778	0.0142796	0.0825089	0.00235878	0.0142874	0.0825093	0.710592	0.0138721	0.710686	0.0832792	6.26358	0.266779	0.277977	1.59983
10	400	-0.12077	-64.9999	0	0.0405832	1.51557e-36	3.61006e-31	6.15068e-37	0.83876	0.154333	0.00690725	0.0500261	0.0500204	97.4865	9.51145e-05	97.4901	0.000127226	0.250047	1.90664	1.35194	0.139922	1.35207	0.139922	0.0489344	0.0489382	0.00115631	0.00976115	0.040684	0.00154655	0.009768	0.0406844	0.533015	0.0184104	0.533085	0.110526	6.29536	0.254725	0.285937	1.513
20	400	-0.132413	-64.9999	0	0.0405832	1.47974e-36	3.52472e-31	6.00528e-37	0.835974	0.157	0.00702667	0.050031	0.0500242	99.4095	0.000109648	99.4132	0.000146819	0.255779	1.95141	1.52471	0.13985	1.52486	0.13985	0.0579955	0.0579998	0.00133499	0.0108808	0.0447	0.00178741	0.0108879	0.0447005	0.522469	0.0187754	0.522538	0.112717	6.31052	0.246498	0.278216	1.49296
30	400	-0.132414	-64.9999	0	0.0405832	1.44637e-36	3.44521e-31	5.86982e-37	0.834205	0.158692	0.00710247	0.0500339	0.0500265	100.64	0.000118392	100.644	0.000158625	0.259658	1.98226	1.632	0.139805	1.63215	0.139805	0.0634427	0.0634471	0.0014426	0.0115911	0.0492512	0.00193267	0.0115984	0.0492518	0.53707	0.0182742	0.537141	0.109708	6.31264	0.245227	0.274848	1.49296
40	400	-0.120547	-64.9999	0	0.0405832	1.41751e-36	3.37648e-31	5.75271e-37	0.832029	0.160775	0.00719574	0.0500373	0.0500292	102.164	0.000128869	102.168	0.000172787	0.265088	2.02686	1.76367	0.139749	1.76384	0.139749	0.0699691	0.0699739	0.00157162	0.0125262	0.0584776	0.00210704	0.0125337	0.0584782	0.583471	0.0168449	0.583548	0.101127	6.30368	0.249435	0.273425	1.51338
50	400	-0.111833	-64.9999	0	0.0405832	1.39075e-36	3.31274e-31	5.64411e-37	0.831249	0.161522	0.00722917	0.0500385	0.0500301	102.713	0.00013243	102.717	0.000177601	0.267394	2.04649	1.81018	0.139728	1.81036	0.139729	0.0721868	0.0721916	0.00161549	0.0128897	0.0632435	0.00216635	0.0128973	0.0632441	0.61021	0.0161184	0.610291	0.0967649	6.29641	0.252847	0.273859	1.52838
60	400	-0.0742948	-64.9999	0	0.0405832	1.36877e-36	3.26038e-31	5.55491e-37	0.829075	0.163603	0.00732234	0.0500418	0.0500328	104.248	0.000142657	104.252	0.000191431	0.27633	2.12655	1.94517	0.13967	1.94536	0.13967	0.0785649	0.0785699	0.00174157	0.0141276	0.0808608	0.00233682	0.0141354	0.0808612	0.70404	0.0139995	0.704133	0.0840438	6.26679	0.265482	0.27721	1.59297
70	400	-0.0703557	-64.9999	0	0.0405832	1.36099e-36	3.24184e-31	5.52333e-37	0.828817	0.16385	0.00733342	0.0500422	0.0500331	104.432	0.000143729	104.436	0.000192881	0.277485	2.13701	1.96049	0.139663	1.96068	0.139663	0.079234	0.0792391	0.00175479	0.0142707	0.0827984	0.0023547	0.0142784	0.0827988	0.713309	0.01382	0.713403	0.0829662	6.26401	0.266519	0.277404	1.59975
