#CHL	$Cond	#SMhz	#SPhz	#RMhz	#RPhz	#DWt
0	S:25-25 R:25-25	25	25	25	25	-0.000671219
0.1875	S:25-50 R:25-50	25	50	25	50	0.00988447
0.9375	S:25-100 R:25-100	25	100	25	100	0.36571
-0.1875	S:50-25 R:50-25	50	25	50	25	0.0651306
0	S:50-50 R:50-50	50	50	50	50	0.0771591
0.75	S:50-100 R:50-100	50	100	50	100	0.377414
-0.9375	S:100-25 R:100-25	100	25	100	25	0.371707
-0.75	S:100-50 R:100-50	100	50	100	50	0.377731
0	S:100-100 R:100-100	100	100	100	100	0.387526
