#X	#Y	#DWt
10	10	0.00566792
20	10	0.012279
30	10	0.00884108
10	20	0.0085215
10	30	0.00731591
20	20	0.0344094
10	40	0.00842344
10	50	0.00429431
10	60	-0.0036038
20	40	-0.00395055
10	70	0.00206825
10	100	0.227829
40	10	0.0059068
20	50	0.00223998
30	20	0.0342545
10	90	0.218121
40	20	0.0414796
20	30	-0.00675713
20	60	6.10475e-05
20	70	0.220098
20	80	0.156862
20	90	0.257389
20	100	0.222113
30	30	0.0514707
40	30	0.067677
30	40	0.0301119
40	40	0.0766723
30	50	0.0186017
30	60	0.0145684
30	70	0.106382
30	80	0.212034
30	90	0.202494
30	100	0.245478
40	50	0.036346
40	60	0.0641498
40	70	0.13384
10	80	-0.00483954
40	80	0.168237
40	90	0.256606
40	100	0.211339
50	10	0.00630495
60	10	0.00956378
50	20	0.0354728
70	20	0.0323614
50	30	0.0712929
50	40	0.108785
50	50	0.107331
60	50	0.115268
50	60	0.0815585
50	70	0.19839
50	80	0.217117
50	90	0.242316
50	100	0.183344
70	10	0.00840713
60	20	0.0233391
60	30	0.0632473
60	40	0.10516
60	60	0.156043
60	70	0.119324
60	80	0.174772
60	90	0.182029
60	100	0.25138
70	30	0.0770935
70	50	0.114521
70	60	0.111791
70	70	0.128666
70	80	0.244986
70	90	0.231208
80	10	0.00997684
90	10	0.00846458
80	20	0.0287815
80	30	0.0694017
80	40	0.0875724
80	50	0.117575
70	100	0.251184
90	20	0.0279189
70	40	0.0847784
80	60	0.132344
80	70	0.14552
80	80	0.205529
80	90	0.2469
80	100	0.254314
90	30	0.0710619
90	40	0.0950708
90	50	0.124923
90	60	0.13436
90	70	0.140808
90	80	0.145109
90	90	0.193723
90	100	0.233045
100	10	0.011412
100	20	0.0293329
100	30	0.0667868
100	40	0.107211
100	50	0.113033
100	60	0.179738
100	70	0.138837
100	80	0.191816
100	90	0.210181
100	100	0.23481
