#CHL	$Cond	#SMhz	#SPhz	#RMhz	#RPhz	#DWt
0	S:25-25 R:25-25	25	25	25	25	-0.061442
0.1875	S:25-50 R:25-50	25	50	25	50	-0.0592864
0.9375	S:25-100 R:25-100	25	100	25	100	-0.0631777
-0.1875	S:50-25 R:50-25	50	25	50	25	-0.0573798
0	S:50-50 R:50-50	50	50	50	50	-0.0631221
0.75	S:50-100 R:50-100	50	100	50	100	-0.0620963
-0.9375	S:100-25 R:100-25	100	25	100	25	0.220642
-0.75	S:100-50 R:100-50	100	50	100	50	0.00982844
0	S:100-100 R:100-100	100	100	100	100	-0.0357534
