#X	#Y	#DWt
-15	25	-0.0332778
-14	25	-0.0492606
-13	25	-0.0804878
-12	25	-0.081809
-11	25	-0.0827046
-10	25	-0.0832044
-9	25	-0.0833516
-8	25	-0.0832043
-7	25	-0.0828395
-6	25	-0.0823607
-5	25	-0.0819138
-4	25	-0.0817122
-3	25	-0.0820498
-2	25	-0.0831002
-1	25	-0.0837223
0	25	-0.0795415
1	25	-0.065164
2	25	-0.0438448
3	25	-0.0176281
4	25	0.00694555
5	25	0.0189519
6	25	0.0230192
7	25	0.0228407
8	25	0.0200807
9	25	0.0157683
10	25	0.0105632
11	25	0.0048819
12	25	-0.00101589
13	25	-0.00696852
14	25	-0.0128745
15	25	-0.0186689
