#X	#Y	#DWt
-50	0	-0.208914
-45	0	-0.228362
-40	0	-0.252495
-35	0	-0.282435
-30	0	-0.319197
-25	0	-0.362259
-20	0	-0.40516
-15	0	-0.430841
-10	0	-0.426251
-5	0	-0.410443
0	0	-0.253003
5	0	0.16045
10	0	0.23186
15	0	0.165537
20	0	0.096632
25	0	0.0418632
30	0	0.00134578
35	0	-0.0279537
40	0	-0.0491036
45	0	-0.0644939
50	0	-0.0758306
