#X	#Y	#DWt
10	200	-0.140411
20	200	-0.160939
30	200	-0.176698
40	200	-0.18553
10	300	-0.156063
20	300	-0.178012
20	400	-0.187235
50	200	-0.181303
50	300	-0.175901
60	200	-0.156059
10	400	-0.167683
10	500	-0.176509
70	200	-0.158554
20	500	-0.191326
30	300	-0.187355
30	400	-0.190033
40	300	-0.184473
70	300	-0.137695
30	500	-0.188447
10	600	-0.183272
10	700	-0.188433
40	400	-0.177943
30	600	-0.183805
100	200	-0.164026
10	900	-0.195071
50	400	-0.167972
60	400	-0.124278
40	500	-0.169039
90	200	-0.17945
50	500	-0.159154
40	600	-0.159288
60	300	-0.139435
70	400	-0.120113
80	400	-0.119782
60	500	-0.110601
80	200	-0.164688
20	600	-0.191948
50	600	-0.150198
60	600	-0.0980973
30	700	-0.177668
80	300	-0.141104
70	500	-0.103491
80	500	-0.0993464
90	500	-0.106494
100	500	-0.0583424
70	600	-0.0883494
90	300	-0.154179
40	700	-0.149443
90	400	-0.12896
80	600	-0.0823827
100	400	-0.0871565
90	600	-0.0855523
80	700	-0.0679031
10	800	-0.192295
100	300	-0.122471
100	600	-0.033869
20	700	-0.190178
50	700	-0.141456
60	700	-0.0865372
70	700	-0.0761527
100	700	-0.0122914
20	800	-0.186751
30	800	-0.170676
40	800	-0.139873
50	800	-0.133088
60	800	-0.0759625
20	900	-0.182193
90	700	-0.0686422
30	900	-0.162717
40	900	-0.130749
50	900	-0.125163
60	900	-0.0673693
70	800	-0.0642795
80	800	-0.0538492
90	800	-0.053452
100	800	0.00723802
70	900	-0.0530666
80	900	-0.0412597
90	900	-0.0385253
100	900	0.0252543
10	1000	-0.196921
20	1000	-0.17689
30	1000	-0.154904
40	1000	-0.122139
50	1000	-0.117694
60	1000	-0.0582346
70	1000	-0.043712
80	1000	-0.0303329
90	1000	-0.0258181
100	1000	0.0421942
