#X	#Y	#DWt	#VmS	#PreSpike	#NMDA_Mg	#NMDA_Nopen	#NMDA_Jca	#NMDA_G	#NMDA_Nt0	#NMDA_Nt1	#NMDA_Nt2	#GluN2B	#Cyt_Ca	#PSD_Ca	#Cyt_CaM	#Cyt_Ca3CaM	#PSD_CaM	#PSD_Ca3CaM	#Cyt_CaMKIIact	#Cyt_CaMKII	#Cyt_CaMKIIP	#PSD_CaMKIIact	#PSD_CaMKII	#PSD_CaMKIIP	#PSD_CaMKIIn2b	#PSD_N2B_Ca0CaM_CaMKII	#PSD_N2B_Ca1CaM_CaMKII	#PSD_N2B_Ca0CaM_CaMKIIP	#PSD_N2B_Ca1CaM_CaMKIIP	#PSD_N2B_CaMKII	#PSD_N2B_CaMKIIP	#Cyt_DAPK1act	#Cyt_DAPK1_AutoK	#PSD_DAPK1act	#PSD_DAPK1_AutoK	#Cyt_CaNact	#PSD_CaNact	#Cyt_AC1act	#Cyt_cAMP	#Cyt_PKAact	#PSD_AC1act	#PSD_cAMP	#PSD_PKAact	#Cyt_I1P	#Cyt_PP1act	#PSD_I1P	#PSD_PP1act	#Int_AMPAR	#Mbr_AMPAR	#PSD_AMPAR	#Trp_AMPAR
10	300	-0.0853483	-64.9999	0	0.0405832	6.18271e-37	1.47272e-31	2.50917e-37	0.919292	0.0804392	0.000268327	113.966	0.0500022	0.0500047	89.0149	3.41016e-05	89.0196	3.72467e-05	0.0998091	19.2674	3.2327e-09	2.26077	19.3694	4.16696e-07	2.98367	2.89958	0.0371513	0.0364973	0.00206551	0.00294353	1.14435e-07	0.685855	0.140187	0.685855	0.140187	0.0323258	0.0323262	0.000415676	0.00564532	0.0417992	0.00045398	0.00565066	0.0417998	0.623799	0.0157737	0.62388	0.0946959	6.28719	0.251148	0.271941	1.57395
20	300	-0.091685	-64.9999	0	0.0405832	6.10036e-37	1.4531e-31	2.47574e-37	0.919289	0.0804404	0.00027056	113.6	0.0500027	0.0500053	88.9739	3.65262e-05	88.9785	3.98802e-05	0.0998592	19.2635	4.89652e-09	2.2761	19.3655	6.30869e-07	3.00269	2.89857	0.0371411	0.0549734	0.00311493	0.00294282	1.72898e-07	0.685855	0.140187	0.685855	0.140187	0.0364051	0.0364056	0.000445831	0.00589074	0.04435	0.000486737	0.00589609	0.0443507	0.620902	0.0158462	0.620983	0.095131	6.29431	0.247642	0.268403	1.56305
30	300	-0.091098	-64.9999	0	0.0405832	6.01656e-37	1.43314e-31	2.44173e-37	0.919287	0.0804401	0.000272764	113.092	0.0500031	0.0500058	88.9315	3.89267e-05	88.9361	4.24842e-05	0.0999236	19.258	7.09328e-09	2.29773	19.36	9.1347e-07	3.02952	2.89711	0.0371252	0.081231	0.00459314	0.00294166	2.52669e-07	0.685855	0.140187	0.685855	0.140187	0.0404256	0.0404261	0.000475698	0.00616473	0.0481733	0.000519137	0.00617009	0.048174	0.634097	0.0155215	0.634179	0.0931813	6.29509	0.247154	0.266209	1.56406
40	300	-0.0834587	-64.9999	0	0.0405832	5.95818e-37	1.41924e-31	2.41804e-37	0.919287	0.0804382	0.000274727	112.492	0.0500035	0.0500063	88.8917	4.10734e-05	88.8963	4.48081e-05	0.0999952	19.2513	9.53976e-09	2.32434	19.3533	1.22799e-06	3.06251	2.89531	0.0371046	0.113669	0.00639817	0.0029401	3.4594e-07	0.685855	0.140187	0.685855	0.140187	0.0440056	0.0440061	0.000502415	0.00645454	0.0530367	0.000548063	0.00645992	0.0530373	0.660637	0.0149069	0.660723	0.0894917	6.2894	0.249679	0.265719	1.5772
50	300	-0.0735643	-64.9999	0	0.0405832	5.88368e-37	1.40149e-31	2.38781e-37	0.919288	0.0804357	0.000276023	111.994	0.0500038	0.0500067	88.8639	4.24983e-05	88.8685	4.63472e-05	0.100052	19.2455	1.14811e-08	2.34764	19.3474	1.47743e-06	3.09141	2.89374	0.0370862	0.142172	0.00796771	0.00293869	4.23789e-07	0.685855	0.140187	0.685855	0.140187	0.0463737	0.0463743	0.000520153	0.00668699	0.0572908	0.000567225	0.00669237	0.0572914	0.687301	0.0143366	0.687391	0.0860678	6.28149	0.25317	0.266379	1.59423
60	300	-0.0522749	-64.9999	0	0.0405832	5.83667e-37	1.39029e-31	2.36873e-37	0.919293	0.0804294	0.000277931	111.051	0.0500042	0.0500072	88.8195	4.46103e-05	88.8241	4.86212e-05	0.100154	19.2338	1.50617e-08	2.39419	19.3356	1.93725e-06	3.14917	2.89064	0.0370488	0.199251	0.011086	0.00293579	5.73632e-07	0.685855	0.140187	0.685855	0.140187	0.0498722	0.0498727	0.00054645	0.00710533	0.0649153	0.000595545	0.00711071	0.0649157	0.735552	0.0134083	0.735648	0.0804948	6.26483	0.260118	0.26858	1.63086
70	300	-0.0322545	-64.9999	0	0.0405832	5.80225e-37	1.3821e-31	2.35476e-37	0.919299	0.0804218	0.000279192	110.146	0.0500045	0.0500076	88.7857	4.6026e-05	88.7903	5.01367e-05	0.100247	19.222	1.8463e-08	2.44115	19.3237	2.37385e-06	3.20743	2.88751	0.0370103	0.256942	0.0142198	0.00293278	7.20779e-07	0.685855	0.140187	0.685855	0.140187	0.0522097	0.0522103	0.000564083	0.00746284	0.0712212	0.000614423	0.00746823	0.0712216	0.774896	0.0127359	0.774996	0.0764578	6.25004	0.265764	0.270706	1.66532
80	300	-0.0124869	-64.9999	0	0.0405832	5.75889e-37	1.37177e-31	2.33716e-37	0.919308	0.0804119	0.000280116	109.138	0.0500047	0.0500078	88.7555	4.70866e-05	88.7601	5.12617e-05	0.100349	19.2085	2.22655e-08	2.49499	19.3101	2.86176e-06	3.27424	2.88392	0.0369655	0.323195	0.01781	0.00292924	8.87692e-07	0.685855	0.140187	0.685855	0.140187	0.0539571	0.0539577	0.000577296	0.00779674	0.0768767	0.000628442	0.00780214	0.0768769	0.809343	0.0122002	0.809447	0.0732417	6.23648	0.270382	0.272493	1.69933
90	300	3.27834e-05	-64.9999	0	0.0405832	5.73359e-37	1.36574e-31	2.32689e-37	0.919315	0.080404	0.000280594	108.392	0.0500048	0.050008	88.7363	4.76498e-05	88.7409	5.18526e-05	0.100425	19.1984	2.50875e-08	2.53527	19.2999	3.22376e-06	3.32421	2.88122	0.0369315	0.372804	0.0204959	0.00292655	1.01215e-06	0.685855	0.140187	0.685855	0.140187	0.0548837	0.0548843	0.000584312	0.00800384	0.0802526	0.000635807	0.00800924	0.0802528	0.829286	0.0119101	0.829393	0.0715004	6.22853	0.272741	0.2733	1.72088
100	300	0.021166	-64.9999	0	0.0405832	5.68434e-37	1.35401e-31	2.30691e-37	0.919332	0.0803872	0.00028119	106.906	0.0500049	0.0500082	88.7035	4.83899e-05	88.708	5.26137e-05	0.100576	19.178	3.07315e-08	2.6164	19.2793	3.94751e-06	3.42485	2.87574	0.0368622	0.472805	0.0259058	0.00292103	1.26209e-06	0.685855	0.140187	0.685855	0.140187	0.0561005	0.0561011	0.000593535	0.00833533	0.0855107	0.000645296	0.00834073	0.0855108	0.859911	0.0114906	0.860022	0.0689819	6.21625	0.275751	0.273995	1.75724
