#X	#Y	#DWt
-15	25	-0.116514
-14	25	-0.266328
-13	25	-0.183006
-12	25	-0.188636
-11	25	-0.193455
-10	25	-0.197408
-9	25	-0.200478
-8	25	-0.202691
-7	25	-0.204124
-6	25	-0.204906
-5	25	-0.205222
-4	25	-0.205303
-3	25	-0.205262
-2	25	-0.204248
-1	25	-0.198148
0	25	-0.177507
1	25	-0.140551
2	25	-0.101835
3	25	-0.0622346
4	25	-0.027212
5	25	-0.0101155
6	25	-0.00431123
7	25	-0.00460179
8	25	-0.00859114
9	25	-0.0147755
10	25	-0.0221935
11	25	-0.0302495
12	25	-0.0385866
13	25	-0.0469972
14	25	-0.0553655
15	25	-0.063631
