|Run	|Epoch	$RunName	#CorSim	#UnitErr	#PctErr	#PctCor	#PctErr2	#V4_AvgCaDiff	#V4_Gnmda	#V4_GgabaB	#V4_SSGi	#IT_AvgCaDiff	#IT_Gnmda	#IT_GgabaB	#IT_SSGi	#Output_AvgCaDiff	#Output_Gnmda	#Output_GgabaB	#Output_SSGi	#TstCorSim	#TstUnitErr	#TstPctCor	#TstPctErr	#PerTrlMSec	#V4_ActMAvg	#V4_ActMMax	#V4_MaxGeM	#V4_CorDiff	#V4_GiMult	#IT_ActMAvg	#IT_ActMMax	#IT_MaxGeM	#IT_CorDiff	#IT_GiMult	#Output_ActMAvg	#Output_ActMMax	#Output_MaxGeM	#Output_CorDiff	#Output_GiMult	#V1_ActAvg	#V4_PCA_NStrong	#V4_PCA_Top5	#V4_PCA_Next5	#V4_PCA_Rest	#IT_PCA_NStrong	#IT_PCA_Top5	#IT_PCA_Next5	#IT_PCA_Rest	#Output_PCA_NStrong	#Output_PCA_Top5	#Output_PCA_Next5	#Output_PCA_Rest
0	0	cpu_nd1_Base	0.01066	0.05	0.937	0.06299	0.8898	-0.002086	0.2262	0.2728	0.01473	0.006268	0.2174	0.166	0.01163	-0.007988	0.04832	0.2667	0.02895	0	0	0	0	0	0.0289	0.3881	1.015	0.08943	1	0.02691	0.2398	0.5843	0.2672	1	0.02168	0.2849	0.4933	0.9893	1	0.06716	70	0.1414	0.06944	0.004121	19	0.01763	0.0139	0.002001	0	0.007444	0.005253	0.001212
0	1	cpu_nd1_Base	0.05407	0.05	0.9219	0.07812	0.7891	-0.0018	0.2215	0.2576	0.01485	0.006383	0.2178	0.1635	0.01133	-0.007954	0.04848	0.2683	0.02908	0	0	0	0	219.8	0.02894	0.3907	0.9938	0.08651	1	0.0267	0.2406	0.5942	0.2689	1	0.0237	0.3293	0.5083	0.9459	1	0.0691	70	0.1414	0.06944	0.004121	19	0.01763	0.0139	0.002001	0	0.007444	0.005253	0.001212
0	2	cpu_nd1_Base	0.1309	0.05	0.7891	0.2109	0.6953	-0.00195	0.2233	0.244	0.01451	0.006217	0.2184	0.1568	0.01121	-0.008437	0.04858	0.2685	0.02971	0	0	0	0	218.4	0.02867	0.4118	1.015	0.08272	1	0.02662	0.2454	0.5951	0.2657	1	0.02681	0.3806	0.505	0.8691	1	0.0678	70	0.1414	0.06944	0.004121	19	0.01763	0.0139	0.002001	0	0.007444	0.005253	0.001212
0	3	cpu_nd1_Base	0.2685	0.04953	0.6875	0.3125	0.5469	-0.00178	0.2221	0.2459	0.01476	0.006428	0.2183	0.1579	0.01109	-0.008618	0.04948	0.2705	0.03088	0	0	0	0	216.3	0.02864	0.4207	0.9869	0.08058	1	0.02668	0.2495	0.6032	0.2556	1	0.03	0.4484	0.5331	0.7315	1	0.06628	70	0.1414	0.06944	0.004121	19	0.01763	0.0139	0.002001	0	0.007444	0.005253	0.001212
0	4	cpu_nd1_Base	0.2956	0.04937	0.6953	0.3047	0.5625	-0.001652	0.2238	0.25	0.01416	0.006026	0.2163	0.1501	0.01073	-0.008795	0.04909	0.2746	0.03133	0	0	0	0	213.6	0.02837	0.4439	1.031	0.07221	1	0.02644	0.2519	0.6005	0.2467	1	0.03363	0.5077	0.5473	0.7044	1	0.06639	70	0.1414	0.06944	0.004121	19	0.01763	0.0139	0.002001	0	0.007444	0.005253	0.001212
