$Cond	#ErrDWt	#Trial	#Cycle	#SSpike	#RSpike	#SnmdaO	#SnmdaI	#Ge	#Inet	#Vm	#Act	#Gk	#ISI	#VmDend	#Gnmda	#RnmdaSyn	#RCa	#R_CaM	#R_CaP	#R_CaD	#S_CaM	#S_CaP	#S_CaD	#P_Ca	#P_CaM	#P_CaP	#P_CaD	#P_DWt	#P_Wt	#X_Ca	#X_CaM	#X_CaP	#X_CaD	#X_DWt	#X_Wt	#N_Ca	#N_CaM	#N_CaP	#N_CaD	#N_DWt	#N_Wt	#O_Ca	#O_CaM	#O_CaP	#O_CaD	#O_DWt	#O_Wt
025 -> 025	0	28.87	0	0.0001509	0.0001534	0.001526	0.001689	7.399e-07	0.0003379	0.0002457	0	0	0.1263	6.825e-05	7.399e-07	0	1.591e-05	0.002147	0.0003383	0.0001602	0.002162	0.0003402	0.0001611	0	0.007441	0.0009387	0.0004431	0.0008172	0	0.009152	0.002782	0.0004527	0.0002803	0.0003527	0	3.944e-06	1.218e-06	3.069e-07	2.35e-07	1.958e-07	0	0.02179	0.00485	0.0003008	0.0002711	0.0003536	0
025 -> 050	0.25	28.87	0	0.0002101	0.0002075	0.000961	0.001075	9.487e-07	0.0004563	0.0003294	0	0	0.06814	8.843e-05	9.488e-07	0	2.153e-05	0.002343	0.0004172	0.000229	0.002343	0.0004177	0.000229	0	0.01406	0.00195	0.0008699	0.001432	0	0.02809	0.007555	0.001377	0.0006494	0.0009296	0	5.354e-06	1.486e-06	3.12e-07	2.633e-07	2.013e-07	0	0.03202	0.009015	0.001188	0.0005977	0.0009296	0
025 -> 100	0.75	28.87	0	0.0002903	0.0002911	0.0005742	0.0006918	1.124e-06	0.0006216	0.0004165	0	0	0.03894	0.0001047	1.124e-06	0	3.035e-05	0.002836	0.0006744	0.0003601	0.00284	0.0006725	0.0003591	0	0.03017	0.005345	0.001974	0.003858	0	0.1042	0.02621	0.006338	0.002667	0.00415	0	7.234e-06	1.684e-06	3.36e-07	2.724e-07	2.103e-07	0	0.06539	0.02589	0.006132	0.002566	0.00415	0
050 -> 025	-0.25	28.87	0	8.798e-05	8.571e-05	0.001187	0.001176	4.971e-07	0.0001955	0.0001569	0	0	0.08683	4.453e-05	4.971e-07	0	8.893e-06	0.001523	0.0002994	0.0002769	0.001514	0.0002951	0.0002753	0	0.004168	0.001081	0.00121	0.0008756	0	0.00525	0.001806	0.0007427	0.00097	0.000486	0	1.918e-06	7.882e-07	3.52e-07	2.014e-07	2.373e-07	0	0.02029	0.004746	0.0009592	0.00111	0.000486	0
050 -> 050	0	28.87	0	0.0002142	0.0002069	0.000956	0.001096	9.531e-07	0.0004558	0.00033	0	0	0.06678	8.886e-05	9.531e-07	0	2.147e-05	0.002408	0.0004207	0.0002986	0.002435	0.000418	0.0002953	0	0.01414	0.002286	0.001602	0.001611	0	0.02906	0.008018	0.001638	0.001237	0.001056	0	5.042e-06	1.435e-06	2.758e-07	1.979e-07	1.91e-07	0	0.03236	0.009285	0.001544	0.001233	0.001056	0
050 -> 100	0.5	28.87	0	0.000284	0.0002839	0.000569	0.0006827	1.13e-06	0.0006111	0.0004187	0	0	0.03874	0.0001051	1.13e-06	0	2.958e-05	0.002828	0.0006815	0.0004118	0.002813	0.0006878	0.000413	0	0.0301	0.006014	0.002934	0.004071	0	0.1058	0.02679	0.006929	0.003311	0.004372	0	6.924e-06	1.65e-06	3.046e-07	2.202e-07	2.027e-07	0	0.0662	0.02624	0.006741	0.003186	0.004372	0
100 -> 025	-0.75	28.87	0	9.801e-05	9.127e-05	0.001281	0.001151	5.879e-07	0.0002134	0.0001766	0	0	0.08399	5.067e-05	5.879e-07	0	9.47e-06	0.001564	0.0003914	0.0004781	0.00159	0.0004051	0.0004825	0	0.005771	0.002132	0.00364	0.002255	0	0.007086	0.002516	0.003029	0.005143	0.002437	0	2.695e-06	1.093e-06	3.888e-07	1.987e-07	2.937e-07	0	0.02408	0.006093	0.00451	0.005947	0.002437	0
100 -> 050	-0.5	28.87	0	0.0001924	0.0002004	0.0009063	0.001011	8.889e-07	0.0004379	0.0003146	0	0	0.0637	8.49e-05	8.889e-07	0	2.079e-05	0.002318	0.0004632	0.0004819	0.002283	0.0004707	0.0004812	0	0.013	0.003251	0.004103	0.002555	0	0.02942	0.008268	0.003689	0.005341	0.002537	0	4.817e-06	1.398e-06	2.86e-07	2.079e-07	1.969e-07	0	0.03374	0.01008	0.004669	0.005872	0.002537	0
100 -> 100	0	28.87	0	0.0002808	0.0002903	0.0005725	0.0006855	1.126e-06	0.0006215	0.000415	0	0	0.03902	0.0001046	1.126e-06	0	3.024e-05	0.002834	0.0007152	0.0005479	0.002812	0.0007099	0.0005425	0	0.0302	0.007346	0.005611	0.004744	0	0.1108	0.02825	0.008752	0.007005	0.005194	0	7.029e-06	1.657e-06	2.95e-07	2.14e-07	2.029e-07	0	0.0685	0.02786	0.008728	0.007003	0.005194	0
