$Cond	#ErrDWt	#Trial	#Cycle	#SSpike	#RSpike	#SnmdaO	#SnmdaI	#Ge	#Inet	#Vm	#Act	#Gk	#ISI	#VmDend	#Gnmda	#RnmdaSyn	#RCa	#R_CaM	#R_CaP	#R_CaD	#S_CaM	#S_CaP	#S_CaD	#P_Ca	#P_CaM	#P_CaP	#P_CaD	#P_CaDMax	#P_TDWt	#P_DWt	#P_Wt	#X_Ca	#X_CaM	#X_CaP	#X_CaD	#X_CaDMax	#X_TDWt	#X_DWt	#X_Wt	#N_Ca	#N_CaM	#N_CaP	#N_CaD	#N_CaDMax	#N_TDWt	#N_DWt	#N_Wt	#O_Ca	#O_CaM	#O_CaP	#O_CaD	#O_CaDMax	#O_TDWt	#O_DWt	#O_Wt
	0	0	11	0	0	0.5031	0	0.5016	5.699e-07	0.1842	0	0	31	0.1842	0.001622	0.5	0	0.03052	0.1187	0.09642	0.1334	0.145	0.08634	0	0.004072	0.01721	0.008325	0	0	0.04416	0.5	0	0.001803	0.008425	0.004591	0.004591	-0.04068	0	0.5	0	6.368e-07	4.078e-05	2.802e-05	2.802e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	12	0	0	0.4832	0	0.5016	4.927e-07	0.1842	0	0	32	0.1842	0.001622	0.5	0	0.02747	0.1164	0.09692	0.1201	0.1444	0.08779	0	0.003299	0.01681	0.008509	0	0	0.04416	0.5	0	0.001442	0.00825	0.004682	0.004682	-0.04068	0	0.5	0	5.095e-07	3.978e-05	2.832e-05	2.832e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	13	0	0	0.4641	0	0.5016	4.579e-07	0.1842	0	0	33	0.1842	0.001622	0.5	0	0.02472	0.1141	0.09735	0.1081	0.1435	0.08918	0	0.002672	0.01637	0.008682	0	0	0.04416	0.5	0	0.001154	0.008073	0.004767	0.004767	-0.04068	0	0.5	0	4.076e-07	3.879e-05	2.858e-05	2.858e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	14	0	0	0.4457	0	0.5016	5.49e-07	0.1842	0	0	34	0.1842	0.001622	0.5	0	0.02225	0.1118	0.09771	0.09726	0.1423	0.09051	0	0.002164	0.01591	0.008844	0	0	0.04416	0.5	0	0.000923	0.007894	0.004845	0.004845	-0.04068	0	0.5	0	3.26e-07	3.783e-05	2.881e-05	2.881e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	15	0	0	0.4281	0	0.5016	4.933e-07	0.1842	0	0	35	0.1842	0.001622	0.5	0	0.02003	0.1095	0.09801	0.08754	0.141	0.09178	0	0.001753	0.01544	0.008995	0	0	0.04416	0.5	0	0.0007384	0.007715	0.004917	0.004917	-0.04068	0	0.5	0	2.608e-07	3.689e-05	2.901e-05	2.901e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	16	0	0	0.4111	0	0.5016	4.818e-07	0.1842	0	0	36	0.1842	0.001622	0.5	0	0.01802	0.1072	0.09824	0.07878	0.1394	0.09297	0	0.00142	0.01495	0.009133	0	0	0.04416	0.5	0	0.0005907	0.007537	0.004982	0.004982	-0.04068	0	0.5	0	2.087e-07	3.598e-05	2.919e-05	2.919e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	17	0	0	0.3948	0	0.5016	4.436e-07	0.1842	0	0	37	0.1842	0.001622	0.5	0	0.01622	0.1049	0.09841	0.07091	0.1377	0.09408	0	0.00115	0.01445	0.009258	0	0	0.04416	0.5	0	0.0004726	0.00736	0.005042	0.005042	-0.04068	0	0.5	0	1.669e-07	3.508e-05	2.934e-05	2.934e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	18	0	0	0.3792	0	0.5016	4.377e-07	0.1841	0	0	38	0.1841	0.001622	0.5	0	0.0146	0.1027	0.09851	0.06382	0.1359	0.09513	0	0.0009316	0.01395	0.009371	0	0	0.04416	0.5	0	0.0003781	0.007186	0.005095	0.005095	-0.04068	0	0.5	0	1.335e-07	3.421e-05	2.946e-05	2.946e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	19	0	0	0.3642	0	0.5016	4.256e-07	0.1841	0	0	39	0.1841	0.001622	0.5	0	0.01314	0.1004	0.09856	0.05743	0.1339	0.0961	0	0.0007546	0.01345	0.009471	0	0	0.04416	0.5	0	0.0003024	0.007014	0.005143	0.005143	-0.04068	0	0.5	0	1.068e-07	3.335e-05	2.955e-05	2.955e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	20	0	0.1	0.3497	0	0.5016	0.1953	0.2537	0	0	0	0.2022	0.001622	0.5	0.008305	0.8118	0.1182	0.09905	0.05169	0.1318	0.09699	0	0.04196	0.01559	0.009607	0	0	0.04416	0.5	0.3785	0.07594	0.008737	0.005233	0.005233	-0.04126	0	0.5	0.03486	0.006971	0.0002068	3.399e-05	3.399e-05	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	21	0	0	0.3359	0	0.5018	0.07813	0.2815	0	0	1	0.2101	0.001809	0.5	0	0.7306	0.1335	0.09991	0.04652	0.1297	0.09781	0	0.03399	0.01732	0.009773	0	0	0.04416	0.5	0	0.06076	0.01004	0.005353	0.005353	-0.04126	0	0.5	0	0.005577	0.0003411	4.166e-05	4.166e-05	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	22	0	0	0.3226	0	0.5019	0.05209	0.3	0	0	2	0.2137	0.001897	0.5	0	0.6576	0.1466	0.1011	0.04187	0.1275	0.09855	0	0.02753	0.0187	0.009962	0	0	0.04416	0.5	0	0.0486	0.011	0.005494	0.005494	-0.04126	0	0.5	0	0.004462	0.0004441	5.172e-05	5.172e-05	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	23	0	0	0.3098	0	0.5019	-0.04722	0.1968	0	0	3	0.2002	0.00194	0.5	0	0.5918	0.1578	0.1025	0.03768	0.1253	0.09922	0	0.0223	0.01976	0.01017	0	0	0.04416	0.5	0	0.03888	0.0117	0.00565	0.00565	-0.04126	0	0.5	0	0.003569	0.0005222	6.348e-05	6.348e-05	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	24	0	0	0.2976	0	0.5018	-0.001155	0.1905	0	0	4	0.1926	0.001788	0.5	0	0.5326	0.1671	0.1041	0.03391	0.123	0.09981	0	0.01806	0.02056	0.01039	0	0	0.04416	0.5	0	0.03111	0.01218	0.005813	0.005813	-0.04126	0	0.5	0	0.002855	0.0005805	7.641e-05	7.641e-05	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	25	0	0	0.2858	0	0.5017	1.655e-07	0.1875	0	0	5	0.1884	0.001706	0.5	0	0.4794	0.1749	0.1059	0.03052	0.1207	0.1003	0	0.01463	0.02111	0.01062	0	0	0.04416	0.5	0	0.02489	0.0125	0.00598	0.00598	-0.04126	0	0.5	0	0.002284	0.0006231	9.008e-05	9.008e-05	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	26	0	0	0.2745	0	0.5017	0.0001776	0.1858	0	0	6	0.1863	0.001664	0.5	0	0.4314	0.1814	0.1078	0.02747	0.1183	0.1008	0	0.01185	0.02146	0.01086	0	0	0.04416	0.5	0	0.01991	0.01269	0.006148	0.006148	-0.04126	0	0.5	0	0.001827	0.0006532	0.0001042	0.0001042	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	27	0	0	0.2636	0	0.5016	0.0001415	0.185	0	0	7	0.1852	0.001643	0.5	0	0.3883	0.1865	0.1097	0.02472	0.116	0.1012	0	0.0096	0.02164	0.0111	0	0	0.04416	0.5	0	0.01593	0.01277	0.006313	0.006313	-0.04126	0	0.5	0	0.001462	0.0006735	0.0001184	0.0001184	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	28	0	0	0.2531	0	0.5016	8.513e-05	0.1846	0	0	8	0.1847	0.001632	0.5	0	0.3495	0.1906	0.1118	0.02225	0.1137	0.1015	0	0.007776	0.02166	0.01134	0	0	0.04416	0.5	0	0.01274	0.01277	0.006475	0.006475	-0.04126	0	0.5	0	0.00117	0.0006859	0.0001326	0.0001326	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	29	0	0	0.2431	0	0.5016	4.633e-05	0.1843	0	0	9	0.1844	0.001627	0.5	0	0.3145	0.1937	0.1138	0.02003	0.1113	0.1017	0	0.006298	0.02156	0.01158	0	0	0.04416	0.5	0	0.01019	0.0127	0.00663	0.00663	-0.04126	0	0.5	0	0.0009357	0.0006921	0.0001466	0.0001466	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	30	0	0	0.2335	0	0.5016	2.421e-05	0.1842	0	0	10	0.1843	0.001624	0.5	0	0.2831	0.1959	0.1159	0.01802	0.109	0.1019	0	0.005102	0.02135	0.01181	0	0	0.04416	0.5	0	0.008154	0.01259	0.006779	0.006779	-0.03741	0	0.5	0	0.0007485	0.0006935	0.0001602	0.0001602	-0.006242	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	31	0	0	0.2242	0	0.5016	1.247e-05	0.1842	0	0	11	0.1842	0.001623	0.5	0	0.2548	0.1974	0.1179	0.01622	0.1067	0.102	0	0.004132	0.02106	0.01203	0	0	0.04416	0.5	0	0.006524	0.01244	0.006921	0.006921	-0.03741	0	0.5	0	0.0005988	0.0006911	0.0001735	0.0001735	-0.006242	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	32	0	0	0.2154	0	0.5016	6.325e-06	0.1842	0	0	12	0.1842	0.001622	0.5	0	0.2293	0.1982	0.1199	0.0146	0.1044	0.1021	0	0.003347	0.02069	0.01224	0	0	0.04416	0.5	0	0.005219	0.01226	0.007054	0.007054	-0.03741	0	0.5	0	0.0004791	0.0006858	0.0001863	0.0001863	-0.006242	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	33	0	0	0.2068	0	0.5016	3.45e-06	0.1841	0	0	13	0.1841	0.001622	0.5	0	0.2064	0.1984	0.1219	0.01314	0.1021	0.1021	0	0.002711	0.02025	0.01244	0	0	0.04416	0.5	0	0.004175	0.01205	0.007179	0.007179	-0.03741	0	0.5	0	0.0003832	0.0006783	0.0001986	0.0001986	-0.006242	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	34	0	0	0.1986	0	0.5016	1.863e-06	0.1841	0	0	14	0.1841	0.001622	0.5	0	0.1857	0.1981	0.1238	0.01183	0.09983	0.102	0	0.002196	0.01977	0.01263	0	0	0.04416	0.5	0	0.00334	0.01184	0.007296	0.007296	-0.03741	0	0.5	0	0.0003066	0.000669	0.0002104	0.0002104	-0.006242	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	35	0	0	0.1908	0	0.5016	1.078e-06	0.1841	0	0	15	0.1841	0.001621	0.5	0	0.1671	0.1973	0.1256	0.01064	0.0976	0.1019	0	0.001779	0.01926	0.0128	0	0	0.04416	0.5	0	0.002672	0.01161	0.007403	0.007403	-0.03741	0	0.5	0	0.0002453	0.0006584	0.0002216	0.0002216	-0.006242	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	36	0	0	0.1832	0	0.5016	6.365e-07	0.1841	0	0	16	0.1841	0.001621	0.5	0	0.1504	0.1961	0.1274	0.009578	0.0954	0.1018	0	0.001441	0.01871	0.01296	0	0	0.04416	0.5	0	0.002138	0.01137	0.007503	0.007503	-0.03741	0	0.5	0	0.0001962	0.0006468	0.0002322	0.0002322	-0.006242	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	37	0	0	0.176	0	0.5016	5.103e-07	0.1841	0	0	17	0.1841	0.001621	0.5	0	0.1354	0.1946	0.1291	0.00862	0.09323	0.1015	0	0.001167	0.01814	0.0131	0	0	0.04416	0.5	0	0.00171	0.01113	0.007593	0.007593	-0.03741	0	0.5	0	0.000157	0.0006346	0.0002423	0.0002423	-0.006242	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	38	0.1	0	1	1	0.5016	4.116e-07	0.1841	0	0	18	0.1841	0.001621	0.5	0	0.1219	0.1928	0.1307	0.8078	0.1111	0.1018	0	0.09843	0.02142	0.0133	0	0	0.04416	0.5	0.5756	0.1165	0.01376	0.007748	0.007748	-0.03624	0	0.5	0	0.0001256	0.0006219	0.0002518	0.0002518	-0.005597	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	39	0	0	0.9604	0	0.5016	3.571e-07	0.1841	0	0	19	0.1841	0.001621	0.5	0	0.1097	0.1907	0.1322	0.727	0.1265	0.1024	0	0.07972	0.02412	0.01353	0	0	0.04416	0.5	0	0.09319	0.01575	0.007948	0.007948	-0.03624	0	0.5	0	0.0001005	0.0006088	0.0002607	0.0002607	-0.005597	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	40	0	0	0.9224	0	0.5016	3.153e-07	0.1841	0	0	20	0.1841	0.001621	0.5	0	0.0987	0.1884	0.1336	0.6543	0.1397	0.1033	0	0.06458	0.02632	0.0138	0	0	0.04416	0.5	0	0.07455	0.01722	0.008179	0.008179	-0.03624	0	0.5	0	8.037e-05	0.0005956	0.0002691	0.0002691	-0.005597	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	41	0	0	0.8858	0	0.5016	3.167e-07	0.1841	0	0	21	0.1841	0.001621	0.5	0	0.08883	0.1859	0.1349	0.5889	0.1509	0.1045	0	0.05231	0.02806	0.0141	0	0	0.04416	0.5	0	0.05964	0.01828	0.008432	0.008432	-0.03624	0	0.5	0	6.43e-05	0.0005823	0.0002769	0.0002769	-0.005597	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	42	0	0	0.8508	0	0.5016	2.664e-07	0.1841	0	0	22	0.1841	0.001621	0.5	0	0.07995	0.1833	0.1361	0.53	0.1604	0.1059	0	0.04237	0.0294	0.01441	0	0	0.04416	0.5	0	0.04771	0.01902	0.008696	0.008696	-0.03624	0	0.5	0	5.144e-05	0.0005691	0.0002842	0.0002842	-0.005597	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	43	0	0	0.8171	0	0.5016	2.174e-07	0.1841	0	0	23	0.1841	0.001621	0.5	0	0.07195	0.1805	0.1372	0.477	0.1683	0.1075	0	0.03432	0.03038	0.01474	0	0	0.04416	0.5	0	0.03817	0.01949	0.008966	0.008966	-0.03624	0	0.5	0	4.115e-05	0.0005559	0.000291	0.000291	-0.005597	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	44	0	0	0.7847	0	0.5016	2.884e-07	0.1841	0	0	24	0.1841	0.001621	0.5	0	0.06476	0.1776	0.1382	0.4293	0.1748	0.1092	0	0.0278	0.03105	0.01509	0	0	0.04416	0.5	0	0.03054	0.01977	0.009236	0.009236	-0.03624	0	0.5	0	3.292e-05	0.0005428	0.0002973	0.0002973	-0.005597	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	45	0	0	0.7536	0	0.5016	3.052e-07	0.1841	0	0	25	0.1841	0.001621	0.5	0	0.05828	0.1746	0.1391	0.3863	0.1801	0.1109	0	0.02252	0.03145	0.01543	0	0	0.04416	0.5	0	0.02443	0.01989	0.009503	0.009503	-0.03624	0	0.5	0	2.634e-05	0.0005299	0.0003031	0.0003031	-0.005597	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	46	0	0	0.7238	0	0.5016	2.717e-07	0.1841	0	0	26	0.1841	0.001621	0.5	0	0.05245	0.1716	0.1399	0.3477	0.1843	0.1128	0	0.01824	0.03162	0.01578	0	0	0.04416	0.5	0	0.01954	0.01988	0.009762	0.009762	-0.03624	0	0.5	0	2.107e-05	0.0005172	0.0003084	0.0003084	-0.005597	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	47	0	0	0.6951	0	0.5016	3.011e-07	0.1841	0	0	27	0.1841	0.001621	0.5	0	0.04721	0.1685	0.1406	0.3129	0.1875	0.1146	0	0.01477	0.03159	0.01612	0	0	0.04416	0.5	0	0.01563	0.01977	0.01001	0.01001	-0.03624	0	0.5	0	1.686e-05	0.0005047	0.0003134	0.0003134	-0.005597	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	48	0	0	0.6676	0	0.5016	3.061e-07	0.1841	0	0	28	0.1841	0.001621	0.5	0	0.04249	0.1653	0.1413	0.2816	0.1899	0.1165	0	0.01197	0.03139	0.01646	0	0	0.04416	0.5	0	0.01251	0.01959	0.01025	0.01025	-0.03041	0	0.5	0	1.348e-05	0.0004924	0.0003178	0.0003178	-0.004431	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	49	0	0	0.6412	0	0.5016	2.978e-07	0.1841	0	0	29	0.1841	0.001621	0.5	0	0.03824	0.1621	0.1418	0.2535	0.1915	0.1184	0	0.009693	0.03104	0.01679	0	0	0.04416	0.5	0	0.01001	0.01935	0.01048	0.01048	-0.03041	0	0.5	0	1.079e-05	0.0004803	0.0003219	0.0003219	-0.004431	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	50	0	0	0.6158	0	0.5016	2.706e-07	0.1841	0	0	30	0.1841	0.001621	0.5	0	0.03441	0.1589	0.1422	0.2281	0.1924	0.1202	0	0.007851	0.03058	0.0171	0	0	0.04416	0.5	0	0.008005	0.01907	0.01069	0.01069	-0.03041	0	0.5	0	8.63e-06	0.0004685	0.0003256	0.0003256	-0.004431	0	0.5	0	0	0	0	0	0	0	0.5
