|Expt	|Run	|Epoch	$RunName	#NCorrect	#RewPred	#Rew	#RPE	#PerTrlMSec
0	4	14	2024-02-29-seq3x5pgi_49u_good_Base	1.156	0.1578	0.1745	0.0168	60.15
0	4	15	2024-02-29-seq3x5pgi_49u_good_Base	0.7891	0.1588	0.1328	-0.02628	60.68
0	4	16	2024-02-29-seq3x5pgi_49u_good_Base	0.4062	0.1513	0.05729	-0.09496	58.72
0	4	17	2024-02-29-seq3x5pgi_49u_good_Base	0.7891	0.1453	0.1198	-0.02581	59.69
0	4	18	2024-02-29-seq3x5pgi_49u_good_Base	1.672	0.1554	0.388	0.2349	57.38
0	4	19	2024-02-29-seq3x5pgi_49u_good_Base	1.312	0.1707	0.2682	0.09856	59.73
0	4	20	2024-02-29-seq3x5pgi_49u_good_Base	1.43	0.1769	0.2943	0.1186	61.31
0	4	21	2024-02-29-seq3x5pgi_49u_good_Base	2.109	0.1936	0.5234	0.3332	57.77
0	4	22	2024-02-29-seq3x5pgi_49u_good_Base	2.758	0.2338	0.8464	0.6187	59.27
0	4	23	2024-02-29-seq3x5pgi_49u_good_Base	2.984	0.2907	0.9948	0.7112	59.74
0	5	0	2024-02-29-seq3x5pgi_49u_good_Base	0.03125	0.1	0.002604	-0.09742	0
0	5	1	2024-02-29-seq3x5pgi_49u_good_Base	0.3672	0.1008	0.0651	-0.03545	61.18
0	5	2	2024-02-29-seq3x5pgi_49u_good_Base	0.5938	0.1034	0.09635	-0.006761	63.5
0	5	3	2024-02-29-seq3x5pgi_49u_good_Base	0.4531	0.1034	0.0599	-0.0436	61.42
0	5	4	2024-02-29-seq3x5pgi_49u_good_Base	0.7734	0.105	0.1172	0.0125	61.78
0	5	5	2024-02-29-seq3x5pgi_49u_good_Base	0.7656	0.1064	0.1484	0.04249	60.6
0	5	6	2024-02-29-seq3x5pgi_49u_good_Base	1.773	0.1201	0.4271	0.3101	61.54
0	5	7	2024-02-29-seq3x5pgi_49u_good_Base	2.055	0.1484	0.4714	0.3262	57.64
0	5	8	2024-02-29-seq3x5pgi_49u_good_Base	2.578	0.184	0.7682	0.5901	62.32
0	5	9	2024-02-29-seq3x5pgi_49u_good_Base	2.992	0.2424	0.9922	0.7574	60.73
0	6	0	2024-02-29-seq3x5pgi_49u_good_Base	1.023	0.1029	0.138	0.03572	0
0	6	1	2024-02-29-seq3x5pgi_49u_good_Base	1.438	0.1108	0.263	0.1537	61.86
0	6	2	2024-02-29-seq3x5pgi_49u_good_Base	2.57	0.1436	0.776	0.6389	61.37
0	6	3	2024-02-29-seq3x5pgi_49u_good_Base	3	0.2046	1	0.8034	64.45
0	7	0	2024-02-29-seq3x5pgi_49u_good_Base	0.9609	0.1014	0.08333	-0.01776	0
0	7	1	2024-02-29-seq3x5pgi_49u_good_Base	1.156	0.1059	0.1536	0.04842	60.28
0	7	2	2024-02-29-seq3x5pgi_49u_good_Base	1.57	0.1172	0.3438	0.2288	61.78
0	7	3	2024-02-29-seq3x5pgi_49u_good_Base	1.375	0.1346	0.2969	0.164	63.14
0	7	4	2024-02-29-seq3x5pgi_49u_good_Base	0.5312	0.1376	0.08854	-0.04952	62.29
0	7	5	2024-02-29-seq3x5pgi_49u_good_Base	0.7109	0.1344	0.1172	-0.01736	60.98
0	7	6	2024-02-29-seq3x5pgi_49u_good_Base	0.6641	0.1335	0.1224	-0.01122	62.32
0	7	7	2024-02-29-seq3x5pgi_49u_good_Base	0.4844	0.1295	0.06771	-0.0624	57.99
0	7	8	2024-02-29-seq3x5pgi_49u_good_Base	0.7422	0.1263	0.1042	-0.02239	59.36
0	7	9	2024-02-29-seq3x5pgi_49u_good_Base	1.148	0.1283	0.1589	0.03085	60.62
0	7	10	2024-02-29-seq3x5pgi_49u_good_Base	1.336	0.1329	0.2604	0.1288	59.4
